config,param,reps,total,success,errors,error_pct,rps,mean,p50,p90,p95,p99,max,active,retried,dups,dropped,dist_pct,run_ids
ALGO,adaptive_hog,2,8645.0,8645.0,0.0,0.0,247.0,206.07,89.06,467.88,1135.83,1841.14,3237.26,3-3,0,0,0,"{""sys2"": 37.4, ""sys3"": 25.0, ""sys4"": 37.6}","ALGO_adaptive_hog_c50_rep1,ALGO_adaptive_hog_c50_rep2"
ALGO,adaptive_nohog,1,9514,9514,0,0.0,271.83,186.5,86.13,512.64,1021.12,1404.22,2141.27,3-3,0,0,0,"{""sys2"": 32.1, ""sys3"": 35.6, ""sys4"": 32.3}",ALGO_adaptive_nohog_c50_rep1
ALGO,least_connections_hog,2,9006.5,9006.5,0.0,0.0,257.33,197.47,80.31,552.25,1252.91,1898.96,2590.9,3-3,0,0,0,"{""sys2"": 35.5, ""sys3"": 27.5, ""sys4"": 36.9}","ALGO_least_connections_hog_c50_rep1,ALGO_least_connections_hog_c50_rep2"
ALGO,round_robin_hog,2,7063.5,7063.5,0.0,0.0,201.81,241.55,38.8,210.19,492.81,5847.76,7523.33,3-3,0,0,0,"{""sys2"": 33.4, ""sys3"": 33.1, ""sys4"": 33.4}","ALGO_round_robin_hog_c50_rep1,ALGO_round_robin_hog_c50_rep2"
ALGO,round_robin_nohog,1,9641,9641,0,0.0,275.46,184.91,65.35,300.55,1109.0,2149.48,3153.53,3-3,0,0,0,"{""sys2"": 33.3, ""sys3"": 33.3, ""sys4"": 33.3}",ALGO_round_robin_nohog_c50_rep1
FAIL,None,1,34927,34891,36,0.1,240.63,415.62,101.89,1292.37,2782.6,4696.56,6166.23,2-3,2,0,0,"{""?"": 0.1, ""sys2"": 36.3, ""sys3"": 23.6, ""sys4"": 40.1}",FAIL_recovery_c100
L1,100,2,3607.0,3607.0,0.0,0.0,103.06,895.99,110.51,784.04,8976.44,10533.22,11187.72,1-1,0,0,0,"{""sys2"": 100.0}","L1_c100_rep1,L1_c100_rep2"
L1,10,2,3339.0,3339.0,0.0,0.0,95.4,105.78,68.07,238.59,554.72,840.49,1161.14,1-1,0,0,0,"{""sys2"": 100.0}","L1_c10_rep1,L1_c10_rep2"
L1,1,2,1609.5,1609.5,0.0,0.0,45.99,21.88,11.63,72.37,95.19,134.33,273.86,1-1,0,0,0,"{""sys2"": 100.0}","L1_c1_rep1,L1_c1_rep2"
L1,200,2,2970.0,2970.0,0.0,0.0,84.85,1384.8,772.25,1356.95,7598.55,12532.98,13675.8,1-1,0,0,0,"{""sys2"": 100.0}","L1_c200_rep1,L1_c200_rep2"
