run_id,config,param,mode,concurrency,rate,total,success,errors,error_pct,rps,mean,p50,p90,p95,p99,max,active_min,active_max,retried,dups,dropped,distribution
ALGO_adaptive_hog_c50_rep1,ALGO,adaptive_hog,closed,50,0,9869,9869,0,0.0,281.97,180.45,94.68,392.44,866.75,1284.72,2061.54,3,3,0,0,0,"{""sys2"": 3174, ""sys3"": 3378, ""sys4"": 3317}"
ALGO_adaptive_hog_c50_rep2,ALGO,adaptive_hog,closed,50,0,10060,10060,0,0.0,287.43,176.51,85.11,397.45,916.81,1342.27,1966.47,3,3,0,0,0,"{""sys2"": 3321, ""sys3"": 3418, ""sys4"": 3321}"
ALGO_adaptive_nohog_c50_rep1,ALGO,adaptive_nohog,closed,50,0,10063,10063,0,0.0,287.51,176.52,95.37,426.51,663.96,1040.28,1442.47,3,3,0,0,0,"{""sys2"": 3451, ""sys3"": 3323, ""sys4"": 3289}"
ALGO_least_connections_hog_c50_rep1,ALGO,least_connections_hog,closed,50,0,9844,9844,0,0.0,281.26,180.5,82.68,392.6,1119.54,1494.01,2289.81,3,3,0,0,0,"{""sys2"": 3265, ""sys4"": 3246, ""sys3"": 3333}"
ALGO_least_connections_hog_c50_rep2,ALGO,least_connections_hog,closed,50,0,10339,10339,0,0.0,295.4,172.82,78.59,488.15,1111.5,1439.69,1831.26,3,3,0,0,0,"{""sys2"": 3341, ""sys4"": 3619, ""sys3"": 3379}"
ALGO_round_robin_hog_c50_rep1,ALGO,round_robin_hog,closed,50,0,9706,9706,0,0.0,277.31,183.67,65.58,277.77,1284.59,1899.12,2545.28,3,3,0,0,0,"{""sys4"": 3236, ""sys2"": 3235, ""sys3"": 3235}"
ALGO_round_robin_hog_c50_rep2,ALGO,round_robin_hog,closed,50,0,9606,9606,0,0.0,274.46,185.23,58.57,284.63,801.13,2882.0,3836.19,3,3,0,0,0,"{""sys3"": 3201, ""sys2"": 3203, ""sys4"": 3202}"
ALGO_round_robin_nohog_c50_rep1,ALGO,round_robin_nohog,closed,50,0,9336,9336,0,0.0,266.74,188.7,86.12,326.04,1047.37,1741.66,2492.34,3,3,0,0,0,"{""sys4"": 3112, ""sys3"": 3112, ""sys2"": 3112}"
FAIL_recovery_c100,FAIL,,closed,100,0,34927,34891,36,0.103,240.63,415.62,101.89,1292.37,2782.6,4696.56,6166.23,2,3,2,0,0,"{""sys4"": 13994, ""sys2"": 12662, ""sys3"": 8235, ""?"": 36}"
SCALE_ramp,SCALE,,ramp,200,0,56966,56966,0,0.0,189.89,515.96,102.3,1162.26,3525.14,6664.38,10577.06,1,3,44,0,0,"{""sys2"": 29638, ""sys3"": 16386, ""sys4"": 10942}"
