run_id,users,rps,sys1_cpu_mean/max,sys2_cpu_mean/max,sys3_cpu_mean/max,sys4_cpu_mean/max,sys1_mem_mb,sys2_mem_mb,sys3_mem_mb,sys4_mem_mb
P1_c100_rep1,100,201.4,67 / 93,91 / 104,18 / 27,1 / 2,509,242,468,439
P1_c10_rep1,10,107.7,35 / 51,56 / 75,16 / 32,1 / 2,502,240,466,440
P1_c1_rep1,1,15.9,4 / 9,8 / 15,3 / 4,1 / 2,504,239,462,439
P1_c200_rep1,200,189.1,58 / 89,94 / 103,18 / 33,1 / 2,503,245,464,439
P1_c25_rep1,25,187.0,55 / 84,75 / 98,16 / 35,1 / 3,506,241,469,439
P1_c50_rep1,50,181.0,64 / 84,87 / 107,18 / 29,1 / 2,510,240,464,439
P1_c5_rep1,5,81.4,24 / 38,39 / 59,13 / 20,1 / 3,500,240,463,439
P2_c100_rep1,100,233.1,79 / 101,65 / 96,80 / 101,1 / 6,508,240,507,439
P2_c10_rep1,10,140.0,37 / 57,40 / 76,42 / 98,1 / 2,505,240,505,439
P2_c1_rep1,1,16.8,7 / 16,10 / 20,6 / 18,1 / 2,503,239,480,439
P2_c1_rep2,1,12.0,5 / 12,1 / 6,12 / 32,1 / 2,478,240,499,439
P2_c200_rep1,200,306.4,82 / 104,67 / 94,84 / 101,1 / 4,510,242,511,439
P2_c25_rep1,25,204.5,63 / 100,51 / 93,59 / 101,1 / 3,508,240,506,439
P2_c50_rep1,50,66.4,69 / 98,56 / 84,63 / 91,1 / 2,510,240,511,439
P2_c5_rep1,5,79.6,22 / 33,27 / 56,32 / 80,1 / 3,500,240,498,439
P3_c100_rep1,100,225.4,72 / 102,43 / 67,61 / 88,48 / 71,510,238,501,480
P3_c10_rep1,10,126.3,36 / 58,21 / 79,43 / 91,33 / 85,503,239,498,468
P3_c1_rep1,1,16.7,4 / 10,9 / 18,6 / 13,3 / 10,500,239,483,460
P3_c200_rep1,200,229.5,71 / 101,49 / 82,64 / 95,48 / 82,499,239,509,480
P3_c25_rep1,25,203.1,68 / 99,42 / 72,52 / 89,39 / 84,508,240,509,478
P3_c50_rep1,50,258.6,73 / 98,44 / 81,58 / 90,48 / 89,508,240,510,474
P3_c5_rep1,5,82.0,17 / 27,8 / 48,35 / 73,21 / 62,501,239,506,466
PALGO_adaptive_rep1,60,237.8,79 / 103,43 / 66,61 / 86,42 / 62,507,240,510,483
PALGO_adaptive_rep2,60,230.1,75 / 95,39 / 62,57 / 78,41 / 57,509,239,508,484
PALGO_least_connections_rep1,60,247.9,78 / 106,42 / 63,63 / 92,41 / 62,507,240,510,482
PALGO_least_connections_rep2,60,233.7,76 / 102,44 / 69,60 / 81,46 / 70,506,239,510,483
PALGO_round_robin_rep1,60,231.3,73 / 94,40 / 68,60 / 82,39 / 60,505,240,510,482
PALGO_round_robin_rep2,60,209.8,80 / 102,38 / 65,58 / 84,43 / 71,505,240,510,483
PALGO_threshold_rep1,60,259.6,77 / 107,41 / 67,58 / 85,43 / 70,507,240,510,483
PALGO_threshold_rep2,60,260.4,77 / 99,42 / 68,59 / 91,46 / 71,510,240,510,483
PFAIL_recovery,60,214.0,77 / 106,48 / 83,49 / 98,47 / 87,488,242,491,483
PO1_r100_rep1,300,84.6,48 / 75,41 / 66,13 / 24,1 / 4,484,241,466,439
PO1_r200_rep1,300,130.5,91 / 104,73 / 98,16 / 29,1 / 3,486,243,466,439
PO1_r300_rep1,300,114.5,89 / 101,70 / 98,17 / 33,1 / 2,484,243,467,439
PO1_r400_rep1,300,106.9,88 / 106,68 / 100,15 / 26,1 / 2,485,243,468,439
PO1_r50_rep1,300,46.8,25 / 44,32 / 53,11 / 19,1 / 2,483,239,465,439
PO3_r100_rep1,300,84.0,48 / 74,30 / 80,29 / 75,16 / 72,467,239,501,470
PO3_r200_rep1,300,153.1,90 / 107,28 / 66,51 / 89,31 / 66,472,241,510,476
PO3_r300_rep1,300,115.9,90 / 107,28 / 65,44 / 100,36 / 95,473,242,511,477
PO3_r400_rep1,300,111.0,90 / 106,41 / 89,39 / 71,24 / 75,475,242,510,481
PO3_r50_rep1,300,47.0,27 / 43,19 / 44,16 / 31,15 / 46,466,241,489,458
PUTIL_ramp,200,154.2,56 / 101,29 / 72,46 / 93,31 / 71,489,242,510,483
THR_t0.15_rep1,60,230.7,77 / 103,47 / 67,63 / 90,48 / 78,510,237,510,480
THR_t0.15_rep2,60,239.8,80 / 105,43 / 59,58 / 74,43 / 61,505,239,510,482
THR_t0.30_rep1,60,228.2,77 / 98,47 / 74,57 / 83,44 / 67,510,237,511,481
THR_t0.30_rep2,60,241.0,80 / 101,42 / 64,55 / 80,45 / 64,506,239,510,482
THR_t0.45_rep1,60,241.4,79 / 102,47 / 68,58 / 78,45 / 69,510,239,510,482
THR_t0.45_rep2,60,204.7,74 / 99,40 / 75,49 / 79,39 / 64,509,239,510,482
THR_t0.55_rep1,60,237.2,76 / 99,46 / 90,56 / 76,45 / 75,509,240,511,482
THR_t0.55_rep2,60,235.4,74 / 99,44 / 65,53 / 83,44 / 79,507,240,510,482
THR_t0.70_rep1,60,287.1,80 / 103,46 / 67,60 / 93,48 / 77,509,240,511,481
THR_t0.70_rep2,60,227.8,79 / 106,41 / 70,56 / 90,41 / 67,508,240,510,483
THR_t0.85_rep1,60,254.7,78 / 99,45 / 69,63 / 88,44 / 76,508,237,510,483
THR_t0.85_rep2,60,223.5,79 / 102,40 / 76,57 / 97,39 / 74,508,240,510,484
THR_t1.00_rep1,60,232.2,76 / 102,45 / 82,56 / 83,38 / 61,509,239,510,483
THR_t1.00_rep2,60,227.4,77 / 108,39 / 62,57 / 91,39 / 78,509,240,510,483
