t,system,cpu_pct,mem_mb,mem_pct,quota_cores
1.25,sys1,0.97,471.4,92.08,1.000
1.25,sys3,0.63,489.3,95.57,1.000
1.26,sys2,1.04,241.1,47.09,1.000
1.26,sys4,2.10,463.3,90.50,1.000
2.25,sys1,9.34,473.5,92.48,1.000
2.26,sys2,10.82,239.3,46.75,1.000
2.26,sys3,4.54,489.1,95.53,1.000
2.26,sys4,2.53,463.1,90.45,1.000
3.26,sys1,8.34,473.6,92.50,1.000
3.26,sys2,31.71,239.9,46.86,1.000
3.26,sys3,16.24,489.2,95.55,1.000
3.27,sys4,4.66,463.1,90.45,1.000
4.26,sys1,33.67,473.1,92.41,1.000
4.26,sys2,49.53,241.7,47.20,1.000
4.26,sys3,22.51,489.7,95.64,1.000
4.27,sys4,7.39,463.0,90.43,1.000
5.26,sys1,16.73,473.5,92.49,1.000
5.26,sys3,15.21,489.5,95.60,1.000
5.27,sys2,41.46,241.3,47.14,1.000
5.27,sys4,2.91,463.1,90.44,1.000
6.26,sys1,15.87,473.6,92.51,1.000
6.26,sys3,11.07,489.5,95.60,1.000
6.27,sys2,17.41,241.4,47.14,1.000
6.27,sys4,3.98,463.5,90.53,1.000
7.26,sys1,8.31,473.7,92.52,1.000
7.26,sys3,10.74,489.7,95.65,1.000
7.27,sys2,17.75,241.1,47.09,1.000
7.27,sys4,2.95,462.6,90.36,1.000
8.26,sys1,4.32,473.2,92.43,1.000
8.26,sys3,8.14,489.8,95.67,1.000
8.27,sys2,12.22,241.1,47.09,1.000
8.27,sys4,1.44,462.4,90.32,1.000
9.26,sys3,18.45,489.9,95.68,1.000
9.27,sys1,15.42,474.3,92.63,1.000
9.27,sys2,27.30,241.4,47.15,1.000
9.27,sys4,6.49,463.4,90.51,1.000
10.27,sys1,27.41,474.1,92.59,1.000
10.27,sys2,51.54,241.1,47.09,1.000
10.27,sys3,22.41,489.6,95.63,1.000
10.28,sys4,5.52,464.4,90.69,1.000
11.27,sys3,16.23,490.0,95.70,1.000
11.28,sys1,19.85,473.3,92.44,1.000
11.28,sys2,35.54,241.1,47.09,1.000
11.28,sys4,5.13,465.1,90.84,1.000
12.27,sys3,29.44,489.9,95.69,1.000
12.28,sys1,35.62,474.6,92.70,1.000
12.28,sys2,56.13,241.4,47.14,1.000
12.28,sys4,5.60,464.4,90.70,1.000
13.28,sys1,17.72,472.8,92.35,1.000
13.28,sys2,38.09,241.4,47.14,1.000
13.28,sys3,22.24,490.1,95.71,1.000
13.28,sys4,4.60,465.0,90.82,1.000
14.28,sys1,14.69,474.3,92.63,1.000
14.28,sys2,3.97,241.4,47.15,1.000
14.28,sys3,53.51,491.5,95.99,1.000
14.28,sys4,10.52,464.6,90.74,1.000
15.28,sys1,40.22,474.3,92.64,1.000
15.28,sys3,68.36,492.9,96.27,1.000
15.28,sys4,5.33,465.1,90.84,1.000
15.29,sys2,3.84,241.4,47.14,1.000
16.28,sys4,4.59,464.5,90.72,1.000
16.29,sys1,12.78,474.6,92.70,1.000
16.29,sys2,2.41,241.4,47.15,1.000
16.29,sys3,42.07,494.0,96.49,1.000
17.29,sys1,20.57,474.6,92.69,1.000
17.29,sys2,1.84,241.4,47.14,1.000
17.29,sys3,59.36,496.9,97.05,1.000
17.29,sys4,5.11,464.5,90.72,1.000
18.29,sys1,23.03,474.5,92.67,1.000
18.29,sys2,6.18,241.1,47.09,1.000
18.29,sys3,68.27,497.8,97.22,1.000
18.29,sys4,7.10,464.6,90.74,1.000
19.29,sys1,13.84,474.5,92.68,1.000
19.29,sys2,5.09,241.1,47.09,1.000
19.29,sys3,48.84,496.9,97.05,1.000
19.29,sys4,6.38,465.3,90.89,1.000
20.29,sys1,24.64,475.3,92.82,1.000
20.29,sys2,3.46,240.1,46.90,1.000
20.29,sys3,51.09,497.1,97.08,1.000
20.29,sys4,5.18,465.2,90.86,1.000
21.29,sys2,4.16,240.1,46.90,1.000
21.29,sys4,8.35,465.0,90.81,1.000
21.3,sys1,22.56,474.7,92.72,1.000
21.3,sys3,86.72,497.9,97.24,1.000
22.3,sys1,25.65,475.9,92.95,1.000
22.3,sys2,5.78,240.2,46.91,1.000
22.3,sys3,64.18,498.2,97.31,1.000
22.3,sys4,12.42,465.5,90.92,1.000
23.3,sys2,3.83,239.8,46.83,1.000
23.3,sys3,25.74,498.9,97.44,1.000
23.3,sys4,48.17,469.6,91.73,1.000
23.31,sys1,18.94,474.3,92.64,1.000
24.3,sys2,26.34,242.0,47.27,1.000
24.3,sys3,9.80,499.1,97.47,1.000
24.3,sys4,12.66,470.7,91.93,1.000
24.31,sys1,16.73,474.9,92.76,1.000
25.3,sys2,63.75,241.2,47.10,1.000
25.3,sys3,29.98,499.4,97.54,1.000
25.3,sys4,7.21,470.2,91.84,1.000
25.31,sys1,39.15,475.1,92.80,1.000
26.3,sys2,45.77,241.4,47.15,1.000
26.3,sys4,11.92,470.7,91.93,1.000
26.31,sys1,40.14,476.0,92.96,1.000
26.31,sys3,18.85,499.4,97.54,1.000
27.3,sys2,31.87,241.2,47.11,1.000
27.3,sys4,2.46,470.4,91.88,1.000
27.31,sys1,20.52,476.0,92.97,1.000
27.31,sys3,15.30,498.9,97.44,1.000
28.3,sys2,32.02,241.4,47.15,1.000
28.3,sys4,4.07,471.0,92.00,1.000
28.31,sys3,16.58,499.2,97.51,1.000
28.32,sys1,21.26,475.0,92.77,1.000
29.3,sys2,12.59,241.1,47.10,1.000
