t,system,cpu_pct,mem_mb,mem_pct,quota_cores
1.18,sys1,1.73,502.9,98.23,1.000
1.18,sys4,0.83,482.6,94.26,1.000
1.19,sys3,1.74,506.6,98.94,1.000
1.2,sys2,0.13,237.5,46.39,1.000
2.18,sys1,1.51,502.9,98.23,1.000
2.18,sys4,1.32,482.4,94.21,1.000
2.2,sys2,1.48,237.7,46.43,1.000
2.2,sys3,0.64,506.8,98.99,1.000
3.18,sys1,62.01,507.5,99.11,1.000
3.18,sys4,36.39,481.9,94.11,1.000
3.2,sys2,48.47,237.9,46.47,1.000
3.2,sys3,51.16,507.1,99.05,1.000
4.18,sys1,82.24,507.7,99.15,1.000
4.19,sys4,52.86,483.7,94.48,1.000
4.2,sys2,47.52,239.2,46.73,1.000
4.2,sys3,74.54,507.2,99.07,1.000
5.18,sys1,64.77,504.9,98.62,1.000
5.19,sys4,26.12,483.5,94.44,1.000
5.2,sys3,55.71,506.9,99.01,1.000
5.21,sys2,38.49,239.3,46.73,1.000
6.19,sys1,82.21,508.2,99.25,1.000
6.19,sys4,49.86,483.7,94.47,1.000
6.2,sys3,62.12,507.1,99.04,1.000
6.21,sys2,41.03,239.5,46.78,1.000
7.19,sys1,78.82,507.8,99.17,1.000
7.19,sys4,48.98,484.0,94.53,1.000
7.21,sys2,49.01,238.8,46.64,1.000
7.21,sys3,70.63,507.3,99.09,1.000
8.19,sys4,46.35,484.0,94.52,1.000
8.2,sys1,80.37,509.1,99.44,1.000
8.21,sys2,36.48,239.3,46.73,1.000
8.21,sys3,53.37,507.1,99.05,1.000
9.19,sys4,42.62,483.2,94.38,1.000
9.2,sys1,83.51,507.3,99.08,1.000
9.21,sys2,54.27,239.0,46.69,1.000
9.21,sys3,63.07,506.9,99.01,1.000
10.19,sys4,38.76,483.7,94.48,1.000
10.2,sys1,68.37,507.9,99.21,1.000
10.21,sys3,68.62,507.2,99.06,1.000
10.22,sys2,61.90,239.6,46.79,1.000
11.19,sys4,41.88,483.4,94.41,1.000
11.2,sys1,86.07,510.1,99.62,1.000
11.21,sys3,61.75,507.8,99.18,1.000
11.22,sys2,41.83,239.3,46.74,1.000
12.2,sys1,87.81,507.9,99.19,1.000
12.2,sys4,49.79,483.4,94.41,1.000
12.22,sys2,48.04,239.9,46.85,1.000
12.22,sys3,58.61,507.9,99.19,1.000
13.2,sys1,85.02,508.3,99.28,1.000
13.2,sys4,44.07,483.4,94.41,1.000
13.22,sys3,68.08,507.7,99.15,1.000
13.23,sys2,56.45,239.3,46.74,1.000
14.2,sys1,83.76,510.8,99.76,1.000
14.2,sys4,45.29,483.4,94.41,1.000
14.22,sys3,43.86,507.4,99.10,1.000
14.23,sys2,48.87,238.8,46.65,1.000
15.21,sys1,74.78,507.2,99.07,1.000
15.21,sys4,42.83,483.6,94.46,1.000
15.22,sys3,66.35,508.4,99.30,1.000
15.23,sys2,46.27,239.1,46.70,1.000
16.21,sys1,82.03,510.6,99.72,1.000
16.21,sys4,38.88,483.4,94.40,1.000
16.22,sys3,54.80,507.5,99.12,1.000
16.24,sys2,46.64,239.5,46.77,1.000
17.21,sys1,82.18,509.0,99.41,1.000
17.21,sys4,50.16,483.5,94.43,1.000
17.22,sys3,59.70,507.8,99.18,1.000
17.24,sys2,42.59,239.2,46.72,1.000
18.21,sys1,71.17,507.5,99.12,1.000
18.21,sys4,44.65,484.2,94.57,1.000
18.23,sys3,58.56,508.2,99.26,1.000
18.25,sys2,43.63,239.9,46.86,1.000
19.21,sys1,94.94,508.7,99.35,1.000
19.21,sys4,56.94,484.5,94.62,1.000
19.23,sys3,70.39,508.6,99.35,1.000
19.25,sys2,40.92,239.3,46.73,1.000
20.21,sys1,72.06,509.6,99.54,1.000
20.21,sys4,38.34,483.4,94.42,1.000
20.23,sys3,57.65,508.2,99.25,1.000
20.25,sys2,28.48,243.0,47.47,1.000
21.22,sys1,88.99,507.4,99.10,1.000
21.22,sys4,46.59,483.6,94.46,1.000
21.23,sys3,63.79,508.4,99.30,1.000
21.25,sys2,45.13,239.2,46.73,1.000
22.22,sys1,71.59,507.8,99.18,1.000
22.22,sys4,45.21,484.9,94.70,1.000
22.23,sys3,58.30,508.6,99.33,1.000
22.25,sys2,36.32,239.6,46.81,1.000
23.22,sys1,53.92,506.9,99.01,1.000
23.22,sys4,27.12,483.6,94.46,1.000
23.24,sys3,42.31,508.3,99.28,1.000
23.25,sys2,23.83,239.7,46.82,1.000
24.22,sys1,83.30,509.7,99.54,1.000
24.22,sys4,50.67,483.9,94.51,1.000
24.24,sys3,69.42,508.3,99.28,1.000
24.25,sys2,41.10,239.4,46.76,1.000
25.22,sys4,44.86,483.6,94.46,1.000
25.23,sys1,76.69,509.4,99.49,1.000
25.24,sys3,53.98,508.4,99.29,1.000
25.25,sys2,41.15,240.2,46.91,1.000
26.22,sys4,35.59,483.9,94.51,1.000
26.23,sys1,79.94,510.4,99.68,1.000
26.24,sys3,77.63,508.1,99.24,1.000
26.26,sys2,33.95,239.3,46.75,1.000
27.22,sys4,51.27,483.4,94.41,1.000
27.23,sys1,77.19,509.4,99.49,1.000
27.24,sys3,56.57,508.9,99.40,1.000
27.26,sys2,42.49,239.4,46.75,1.000
28.22,sys4,47.48,483.4,94.41,1.000
28.23,sys1,90.43,509.6,99.53,1.000
28.24,sys3,75.36,508.5,99.32,1.000
28.26,sys2,41.14,239.6,46.79,1.000
29.22,sys4,43.70,483.4,94.41,1.000
29.23,sys1,87.85,511.7,99.93,1.000
29.24,sys3,40.73,508.3,99.28,1.000
29.27,sys2,37.21,240.1,46.89,1.000
30.23,sys4,50.81,484.1,94.56,1.000
30.24,sys1,92.06,508.7,99.36,1.000
30.25,sys3,66.15,508.9,99.39,1.000
30.27,sys2,43.10,239.8,46.84,1.000
31.23,sys4,44.19,483.4,94.41,1.000
31.24,sys1,87.64,509.2,99.45,1.000
31.25,sys3,63.50,509.2,99.45,1.000
31.27,sys2,46.62,239.6,46.80,1.000
32.23,sys4,43.92,484.9,94.70,1.000
32.24,sys1,72.75,511.1,99.83,1.000
32.25,sys3,58.62,509.0,99.40,1.000
32.28,sys2,33.82,239.8,46.84,1.000
33.23,sys4,47.23,483.9,94.51,1.000
33.24,sys1,77.40,510.0,99.61,1.000
33.25,sys3,71.75,509.0,99.41,1.000
33.28,sys2,36.21,239.6,46.79,1.000
34.23,sys4,50.15,484.5,94.64,1.000
34.24,sys1,82.00,509.1,99.44,1.000
34.25,sys3,67.14,508.4,99.30,1.000
34.28,sys2,36.85,239.3,46.74,1.000
35.23,sys4,46.62,483.9,94.51,1.000
35.25,sys1,89.30,511.3,99.86,1.000
35.25,sys3,50.33,508.6,99.34,1.000
35.29,sys2,47.87,239.3,46.75,1.000
36.23,sys4,28.82,484.0,94.53,1.000
36.25,sys1,78.80,509.2,99.44,1.000
36.25,sys3,51.72,508.6,99.34,1.000
36.29,sys2,32.14,239.4,46.75,1.000
37.23,sys4,41.76,483.6,94.46,1.000
37.25,sys3,69.41,508.6,99.34,1.000
37.29,sys2,35.27,239.6,46.79,1.000
37.3,sys1,84.14,510.4,99.69,1.000
38.23,sys4,36.63,483.4,94.42,1.000
38.26,sys3,66.75,508.4,99.30,1.000
38.29,sys2,35.29,239.6,46.80,1.000
38.3,sys1,67.54,510.8,99.76,1.000
39.24,sys4,46.16,483.1,94.36,1.000
39.26,sys3,75.80,509.3,99.48,1.000
39.29,sys2,48.84,239.3,46.75,1.000
39.3,sys1,84.10,509.4,99.50,1.000
40.24,sys4,47.22,482.9,94.31,1.000
40.26,sys3,74.04,508.9,99.39,1.000
40.3,sys1,93.43,510.5,99.72,1.000
40.3,sys2,33.93,239.3,46.75,1.000
41.24,sys4,38.12,482.9,94.32,1.000
41.26,sys3,70.86,508.7,99.35,1.000
41.3,sys2,47.09,239.4,46.75,1.000
41.31,sys1,85.78,508.4,99.30,1.000
42.24,sys4,40.35,483.4,94.42,1.000
42.26,sys3,53.62,509.5,99.50,1.000
42.3,sys2,35.85,239.4,46.75,1.000
