t,system,cpu_pct,mem_mb,mem_pct,quota_cores
1.17,sys3,0.13,510.5,99.70,1.000
1.18,sys1,1.89,501.2,97.89,1.000
1.18,sys2,1.17,239.0,46.68,1.000
1.2,sys4,0.87,481.9,94.12,1.000
2.17,sys3,0.59,510.4,99.70,1.000
2.18,sys1,3.64,500.9,97.84,1.000
2.18,sys2,2.46,239.2,46.73,1.000
2.2,sys4,2.17,481.9,94.12,1.000
3.17,sys3,51.06,510.4,99.68,1.000
3.19,sys1,81.73,503.0,98.24,1.000
3.19,sys2,51.03,238.0,46.48,1.000
3.2,sys4,36.88,482.8,94.30,1.000
4.18,sys3,74.41,510.6,99.73,1.000
4.19,sys1,83.87,503.6,98.36,1.000
4.19,sys2,48.27,239.6,46.79,1.000
4.2,sys4,49.26,483.3,94.40,1.000
5.18,sys3,71.11,510.7,99.74,1.000
5.19,sys1,92.85,504.9,98.61,1.000
5.19,sys2,45.05,240.3,46.94,1.000
5.2,sys4,36.16,482.6,94.25,1.000
6.18,sys3,53.53,510.2,99.65,1.000
6.19,sys2,44.90,239.1,46.69,1.000
6.2,sys1,79.32,503.4,98.32,1.000
6.21,sys4,48.71,482.6,94.26,1.000
7.18,sys3,81.39,511.2,99.85,1.000
7.2,sys1,90.31,505.3,98.69,1.000
7.2,sys2,46.89,239.5,46.78,1.000
7.21,sys4,41.88,482.6,94.26,1.000
8.18,sys3,61.25,511.9,99.97,1.000
8.2,sys1,63.90,503.8,98.40,1.000
8.2,sys2,31.88,240.3,46.94,1.000
8.21,sys4,52.35,483.1,94.36,1.000
9.18,sys3,60.11,510.4,99.68,1.000
9.2,sys1,59.47,502.8,98.20,1.000
9.2,sys2,46.40,239.1,46.69,1.000
9.21,sys4,32.75,482.8,94.30,1.000
10.19,sys3,68.91,510.8,99.77,1.000
10.2,sys1,87.64,504.7,98.58,1.000
10.2,sys2,50.04,239.1,46.70,1.000
10.22,sys4,45.33,483.2,94.38,1.000
11.19,sys3,76.04,510.7,99.75,1.000
11.2,sys1,87.88,504.6,98.56,1.000
11.2,sys2,49.09,240.4,46.95,1.000
11.22,sys4,56.08,483.2,94.38,1.000
12.21,sys1,102.35,503.8,98.40,1.000
12.21,sys2,66.74,239.3,46.73,1.000
12.22,sys4,70.00,482.8,94.30,1.000
12.23,sys3,73.46,510.5,99.71,1.000
13.21,sys1,84.54,505.9,98.80,1.000
13.21,sys2,48.29,239.5,46.78,1.000
13.22,sys4,52.60,483.7,94.48,1.000
13.24,sys3,73.74,510.0,99.61,1.000
14.21,sys1,83.21,506.1,98.85,1.000
14.21,sys2,48.63,240.3,46.94,1.000
14.22,sys4,47.45,484.1,94.55,1.000
14.24,sys3,66.32,511.6,99.92,1.000
15.21,sys1,86.59,503.9,98.42,1.000
15.21,sys2,39.63,239.8,46.83,1.000
15.22,sys4,44.85,482.6,94.26,1.000
15.24,sys3,69.26,509.9,99.59,1.000
16.21,sys1,91.32,506.5,98.92,1.000
16.21,sys2,45.25,239.8,46.83,1.000
16.23,sys4,66.02,482.3,94.20,1.000
16.24,sys3,66.11,511.1,99.83,1.000
17.21,sys1,66.93,506.7,98.96,1.000
17.21,sys2,55.59,240.9,47.04,1.000
17.23,sys4,39.60,482.8,94.30,1.000
17.25,sys3,63.36,511.2,99.84,1.000
18.21,sys1,92.22,505.2,98.68,1.000
18.22,sys2,53.85,239.6,46.80,1.000
18.23,sys4,49.76,482.6,94.25,1.000
18.25,sys3,63.96,512.0,100.00,1.000
19.21,sys1,75.13,503.6,98.37,1.000
19.22,sys2,54.23,239.7,46.82,1.000
19.23,sys4,56.65,482.6,94.25,1.000
19.25,sys3,59.23,510.2,99.65,1.000
20.22,sys1,62.54,505.8,98.80,1.000
20.22,sys2,34.26,238.8,46.64,1.000
20.23,sys4,39.30,483.3,94.40,1.000
20.25,sys3,55.63,511.1,99.82,1.000
21.22,sys1,69.07,504.6,98.56,1.000
21.22,sys2,51.13,239.0,46.68,1.000
21.24,sys4,44.83,483.2,94.37,1.000
21.25,sys3,63.73,510.8,99.76,1.000
22.22,sys1,90.10,506.5,98.92,1.000
22.22,sys2,40.18,239.5,46.79,1.000
22.24,sys4,67.71,482.8,94.29,1.000
22.26,sys3,73.04,511.9,99.99,1.000
23.22,sys1,88.86,506.1,98.86,1.000
23.22,sys2,68.66,239.1,46.70,1.000
23.24,sys4,49.73,484.6,94.64,1.000
23.26,sys3,64.53,510.8,99.77,1.000
24.23,sys1,64.78,506.0,98.83,1.000
24.23,sys2,41.79,239.9,46.85,1.000
24.24,sys4,31.30,483.3,94.40,1.000
24.26,sys3,59.91,511.1,99.82,1.000
25.23,sys1,80.69,508.4,99.30,1.000
25.23,sys2,46.13,239.6,46.80,1.000
25.25,sys4,48.77,482.3,94.20,1.000
25.26,sys3,70.05,510.6,99.73,1.000
26.23,sys1,87.08,505.7,98.77,1.000
26.23,sys2,42.63,239.2,46.73,1.000
26.25,sys4,58.38,482.4,94.21,1.000
26.27,sys3,64.47,510.9,99.78,1.000
27.23,sys1,74.40,506.1,98.84,1.000
27.23,sys2,44.45,239.1,46.69,1.000
27.25,sys4,44.97,483.3,94.39,1.000
27.27,sys3,59.66,510.7,99.74,1.000
28.23,sys2,56.36,239.0,46.69,1.000
28.24,sys1,97.24,508.0,99.23,1.000
28.25,sys4,54.83,484.1,94.55,1.000
28.27,sys3,64.88,510.5,99.70,1.000
29.24,sys1,88.33,507.4,99.11,1.000
29.24,sys2,49.33,240.4,46.94,1.000
29.25,sys4,43.61,483.3,94.39,1.000
29.27,sys3,66.39,510.6,99.73,1.000
30.24,sys1,76.55,506.4,98.90,1.000
30.24,sys2,42.94,239.2,46.73,1.000
30.25,sys4,43.86,483.3,94.39,1.000
30.27,sys3,65.08,510.7,99.75,1.000
31.24,sys1,70.79,505.8,98.79,1.000
31.24,sys2,37.61,240.2,46.91,1.000
31.25,sys4,52.72,483.4,94.42,1.000
31.27,sys3,67.31,510.8,99.77,1.000
32.24,sys1,96.70,508.4,99.30,1.000
32.24,sys2,42.73,239.0,46.68,1.000
32.25,sys4,53.37,483.1,94.35,1.000
32.28,sys3,57.65,510.8,99.77,1.000
33.24,sys1,73.62,507.4,99.11,1.000
33.24,sys2,38.74,238.8,46.64,1.000
33.25,sys4,41.96,482.8,94.30,1.000
33.28,sys3,69.56,510.9,99.78,1.000
34.24,sys1,82.96,505.5,98.73,1.000
34.24,sys2,52.96,238.8,46.64,1.000
34.26,sys4,41.83,482.8,94.30,1.000
34.28,sys3,48.55,510.8,99.77,1.000
35.24,sys2,49.15,238.8,46.64,1.000
