t,system,cpu_pct,mem_mb,mem_pct,quota_cores
1.18,sys1,0.70,505.2,98.67,1.000
1.18,sys2,0.69,239.8,46.83,1.000
1.18,sys4,1.17,481.6,94.07,1.000
1.19,sys3,1.14,509.0,99.42,1.000
2.18,sys1,0.42,505.1,98.66,1.000
2.18,sys2,0.22,240.0,46.88,1.000
2.18,sys4,0.88,481.4,94.02,1.000
2.19,sys3,0.13,509.0,99.42,1.000
3.18,sys2,35.75,238.6,46.60,1.000
3.19,sys1,76.47,503.9,98.43,1.000
3.19,sys3,52.11,509.6,99.53,1.000
3.19,sys4,34.92,482.5,94.24,1.000
4.19,sys1,67.81,503.7,98.37,1.000
4.19,sys2,37.46,240.0,46.88,1.000
4.19,sys3,59.55,509.1,99.44,1.000
4.19,sys4,38.50,482.4,94.23,1.000
5.19,sys1,77.43,500.8,97.81,1.000
5.19,sys2,56.39,239.5,46.78,1.000
5.19,sys3,59.66,509.7,99.55,1.000
5.19,sys4,52.13,482.4,94.22,1.000
6.19,sys2,46.39,240.0,46.88,1.000
6.19,sys3,64.49,509.5,99.51,1.000
6.19,sys4,33.83,483.2,94.37,1.000
6.2,sys1,87.99,505.7,98.77,1.000
7.19,sys2,54.30,239.7,46.82,1.000
7.19,sys4,38.10,482.4,94.22,1.000
7.2,sys1,78.57,502.2,98.09,1.000
7.2,sys3,72.28,509.6,99.52,1.000
8.19,sys2,44.32,239.8,46.83,1.000
8.19,sys4,47.15,482.7,94.28,1.000
8.2,sys1,79.66,500.9,97.83,1.000
8.2,sys3,49.80,509.6,99.53,1.000
9.19,sys2,50.85,239.7,46.82,1.000
9.19,sys4,43.23,482.9,94.32,1.000
9.2,sys1,92.14,505.4,98.71,1.000
9.2,sys3,79.04,509.9,99.58,1.000
10.2,sys2,46.57,239.8,46.84,1.000
10.2,sys3,75.87,510.4,99.69,1.000
10.2,sys4,42.22,483.4,94.42,1.000
10.21,sys1,74.65,503.1,98.26,1.000
11.2,sys2,58.31,240.1,46.89,1.000
11.2,sys3,82.51,509.9,99.58,1.000
11.2,sys4,51.53,482.5,94.23,1.000
11.21,sys1,78.98,502.1,98.07,1.000
12.2,sys2,44.37,240.6,46.99,1.000
12.2,sys3,68.41,510.3,99.66,1.000
12.2,sys4,44.87,482.9,94.32,1.000
12.21,sys1,90.35,505.0,98.63,1.000
13.2,sys2,53.16,239.8,46.84,1.000
13.2,sys3,56.49,510.1,99.62,1.000
13.2,sys4,39.84,482.4,94.22,1.000
13.21,sys1,78.37,503.9,98.42,1.000
14.2,sys2,30.16,240.1,46.89,1.000
14.2,sys3,48.92,509.8,99.58,1.000
14.2,sys4,37.31,482.7,94.27,1.000
14.21,sys1,47.62,502.8,98.21,1.000
15.2,sys4,38.47,482.7,94.28,1.000
15.21,sys2,49.91,241.0,47.08,1.000
15.21,sys3,73.31,510.2,99.65,1.000
15.22,sys1,76.94,506.6,98.94,1.000
16.2,sys4,33.85,482.7,94.27,1.000
16.21,sys2,47.80,240.5,46.97,1.000
16.21,sys3,50.16,510.2,99.65,1.000
16.22,sys1,70.58,505.6,98.74,1.000
17.21,sys2,55.64,241.1,47.08,1.000
17.21,sys4,47.22,482.4,94.22,1.000
17.22,sys1,94.36,504.5,98.53,1.000
17.22,sys3,69.83,510.3,99.66,1.000
18.21,sys2,57.00,240.1,46.89,1.000
18.21,sys4,34.88,482.6,94.25,1.000
18.22,sys1,78.70,506.2,98.86,1.000
18.22,sys3,77.70,510.3,99.66,1.000
19.21,sys2,39.22,240.8,47.03,1.000
19.21,sys4,40.56,482.4,94.21,1.000
19.22,sys3,50.37,509.9,99.58,1.000
19.23,sys1,69.48,504.4,98.53,1.000
20.21,sys4,41.06,482.4,94.21,1.000
20.22,sys2,54.31,240.8,47.04,1.000
20.22,sys3,80.57,510.2,99.65,1.000
20.24,sys1,78.36,504.0,98.45,1.000
21.21,sys4,40.66,483.9,94.50,1.000
21.22,sys2,41.96,240.0,46.88,1.000
21.22,sys3,66.82,510.5,99.71,1.000
21.26,sys1,86.14,506.2,98.88,1.000
22.22,sys2,30.67,240.5,46.98,1.000
22.22,sys3,54.27,510.0,99.61,1.000
22.22,sys4,38.11,483.7,94.46,1.000
22.26,sys1,76.82,505.7,98.78,1.000
23.22,sys2,34.69,240.3,46.94,1.000
23.22,sys3,58.02,510.0,99.61,1.000
23.22,sys4,43.42,482.2,94.17,1.000
23.27,sys1,55.24,503.8,98.40,1.000
24.22,sys3,74.01,510.6,99.72,1.000
24.22,sys4,46.46,482.4,94.22,1.000
24.23,sys2,37.10,241.1,47.08,1.000
24.27,sys1,87.66,505.9,98.81,1.000
25.22,sys4,60.00,482.4,94.22,1.000
25.23,sys2,39.54,240.3,46.93,1.000
25.23,sys3,70.73,510.1,99.63,1.000
25.27,sys1,91.55,504.8,98.59,1.000
26.22,sys4,46.64,482.2,94.17,1.000
26.23,sys2,37.67,240.5,46.98,1.000
26.23,sys3,62.73,510.2,99.66,1.000
26.27,sys1,87.90,505.5,98.73,1.000
27.23,sys2,43.09,240.1,46.89,1.000
27.23,sys3,70.40,510.2,99.66,1.000
27.23,sys4,55.10,482.2,94.18,1.000
27.28,sys1,81.27,504.3,98.49,1.000
28.23,sys2,33.80,241.3,47.13,1.000
28.23,sys3,72.62,510.3,99.68,1.000
28.24,sys4,56.54,484.0,94.52,1.000
28.28,sys1,93.44,506.2,98.86,1.000
29.23,sys3,51.31,510.6,99.74,1.000
29.24,sys2,32.17,240.0,46.88,1.000
29.24,sys4,43.07,482.2,94.18,1.000
29.28,sys1,72.39,506.6,98.94,1.000
30.24,sys2,46.49,240.0,46.88,1.000
30.24,sys3,70.92,510.3,99.67,1.000
30.24,sys4,42.25,482.2,94.18,1.000
30.28,sys1,79.31,504.8,98.60,1.000
31.24,sys2,43.74,240.5,46.98,1.000
31.24,sys3,60.87,510.2,99.64,1.000
31.24,sys4,34.02,482.9,94.32,1.000
31.28,sys1,82.67,506.3,98.89,1.000
32.24,sys2,40.04,240.0,46.88,1.000
32.24,sys3,61.68,510.3,99.66,1.000
32.24,sys4,45.34,482.2,94.18,1.000
32.29,sys1,83.46,505.6,98.75,1.000
33.24,sys3,73.85,510.2,99.66,1.000
33.24,sys4,40.72,482.4,94.23,1.000
33.25,sys2,40.22,240.0,46.87,1.000
33.29,sys1,81.30,507.2,99.07,1.000
34.24,sys3,61.37,510.3,99.67,1.000
34.24,sys4,42.43,482.7,94.28,1.000
34.25,sys2,37.96,240.7,47.02,1.000
34.29,sys1,87.40,506.7,98.96,1.000
35.24,sys4,29.44,482.2,94.18,1.000
35.25,sys2,34.00,240.0,46.87,1.000
35.25,sys3,58.11,510.6,99.72,1.000
35.29,sys1,77.85,504.1,98.46,1.000
36.25,sys2,47.57,240.7,47.01,1.000
36.25,sys3,61.21,511.0,99.80,1.000
36.25,sys4,38.85,483.2,94.37,1.000
36.29,sys1,78.19,506.2,98.87,1.000
37.25,sys3,40.40,510.4,99.68,1.000
37.25,sys4,21.52,481.9,94.13,1.000
37.26,sys2,31.97,240.1,46.90,1.000
37.29,sys1,57.85,504.4,98.51,1.000
38.25,sys3,60.02,510.8,99.76,1.000
38.25,sys4,50.84,482.7,94.27,1.000
38.26,sys2,40.19,240.2,46.92,1.000
38.29,sys1,85.82,505.3,98.69,1.000
39.25,sys3,52.33,510.7,99.75,1.000
39.25,sys4,39.00,482.3,94.20,1.000
39.26,sys2,28.11,240.9,47.06,1.000
