t,system,cpu_pct,mem_mb,mem_pct,quota_cores
1.19,sys1,1.65,503.1,98.27,1.000
1.19,sys2,2.16,239.6,46.79,1.000
1.19,sys3,1.17,509.2,99.45,1.000
1.19,sys4,1.26,481.8,94.10,1.000
2.19,sys2,0.61,239.6,46.80,1.000
2.19,sys3,0.20,509.4,99.50,1.000
2.19,sys4,1.04,482.1,94.15,1.000
2.2,sys1,0.61,503.3,98.30,1.000
3.19,sys2,37.14,239.0,46.67,1.000
3.19,sys4,38.61,483.0,94.34,1.000
3.2,sys1,78.86,503.0,98.25,1.000
3.2,sys3,61.30,510.1,99.64,1.000
4.19,sys2,36.52,240.6,46.99,1.000
4.19,sys4,49.55,482.1,94.16,1.000
4.2,sys1,87.78,501.3,97.91,1.000
4.2,sys3,74.60,509.7,99.54,1.000
5.2,sys1,66.26,504.4,98.52,1.000
5.2,sys2,34.48,240.6,46.99,1.000
5.2,sys3,63.69,510.7,99.74,1.000
5.2,sys4,50.58,481.8,94.11,1.000
6.2,sys1,86.02,503.3,98.31,1.000
6.2,sys2,33.37,239.6,46.79,1.000
6.2,sys3,66.51,509.5,99.51,1.000
6.2,sys4,43.92,481.9,94.11,1.000
7.2,sys1,97.87,506.7,98.97,1.000
7.2,sys2,31.19,239.6,46.79,1.000
7.2,sys4,69.56,483.1,94.36,1.000
7.21,sys3,62.07,509.4,99.49,1.000
8.2,sys1,66.40,506.2,98.87,1.000
8.2,sys2,26.00,239.6,46.79,1.000
8.2,sys4,38.20,483.3,94.40,1.000
8.21,sys3,49.43,509.5,99.52,1.000
9.2,sys2,62.58,240.1,46.89,1.000
9.2,sys4,32.23,483.1,94.36,1.000
9.21,sys1,91.57,504.4,98.51,1.000
9.21,sys3,83.29,509.3,99.48,1.000
10.2,sys2,49.98,239.1,46.69,1.000
10.21,sys1,83.50,505.3,98.69,1.000
10.21,sys3,60.57,509.6,99.54,1.000
10.21,sys4,46.93,482.7,94.27,1.000
11.21,sys2,46.88,239.3,46.73,1.000
11.21,sys3,69.11,509.9,99.60,1.000
11.21,sys4,39.25,482.7,94.28,1.000
11.22,sys1,79.03,506.1,98.84,1.000
12.21,sys2,60.66,239.4,46.75,1.000
12.21,sys3,41.13,509.6,99.54,1.000
12.21,sys4,42.78,483.0,94.33,1.000
12.22,sys1,76.10,505.2,98.66,1.000
13.21,sys2,43.01,239.8,46.84,1.000
13.21,sys4,48.75,483.7,94.47,1.000
13.22,sys1,83.99,508.3,99.27,1.000
13.22,sys3,46.68,509.6,99.52,1.000
14.21,sys2,53.52,239.0,46.69,1.000
14.21,sys4,45.27,482.9,94.32,1.000
14.22,sys1,85.34,506.5,98.93,1.000
14.22,sys3,56.21,509.9,99.59,1.000
15.21,sys2,40.46,239.6,46.79,1.000
15.21,sys4,26.50,483.2,94.37,1.000
15.22,sys1,71.84,506.7,98.96,1.000
15.22,sys3,59.91,511.0,99.80,1.000
16.21,sys2,38.22,238.8,46.64,1.000
16.21,sys4,38.98,483.9,94.51,1.000
16.22,sys1,86.46,507.6,99.14,1.000
16.22,sys3,52.09,509.9,99.59,1.000
17.21,sys4,56.77,482.6,94.27,1.000
17.22,sys1,78.50,506.8,98.98,1.000
17.22,sys2,56.89,238.8,46.64,1.000
17.22,sys3,53.02,510.1,99.64,1.000
18.21,sys4,63.88,483.0,94.33,1.000
18.22,sys2,40.25,238.8,46.64,1.000
18.22,sys3,81.70,509.5,99.52,1.000
18.23,sys1,94.36,507.2,99.07,1.000
19.22,sys2,54.02,239.4,46.75,1.000
19.22,sys3,48.63,509.6,99.53,1.000
19.22,sys4,54.63,482.9,94.31,1.000
19.23,sys1,89.07,507.2,99.06,1.000
20.22,sys2,46.96,239.1,46.69,1.000
20.22,sys3,57.08,509.7,99.54,1.000
20.22,sys4,36.78,482.4,94.21,1.000
20.23,sys1,85.47,506.7,98.97,1.000
21.22,sys2,42.14,239.8,46.84,1.000
21.22,sys4,64.27,483.2,94.38,1.000
21.23,sys1,106.80,507.4,99.11,1.000
21.23,sys3,76.09,510.3,99.66,1.000
22.22,sys2,49.25,238.8,46.65,1.000
22.22,sys4,58.13,484.8,94.69,1.000
22.23,sys1,100.97,509.4,99.50,1.000
22.23,sys3,85.38,510.1,99.62,1.000
23.22,sys2,46.93,239.3,46.74,1.000
23.22,sys4,51.08,483.2,94.38,1.000
23.23,sys1,92.80,506.4,98.91,1.000
23.23,sys3,56.53,509.8,99.56,1.000
24.22,sys2,37.35,239.1,46.69,1.000
24.22,sys4,38.56,483.3,94.39,1.000
24.23,sys3,38.72,509.6,99.54,1.000
24.24,sys1,55.35,507.2,99.07,1.000
25.22,sys4,63.07,482.9,94.31,1.000
25.23,sys2,67.08,240.3,46.93,1.000
25.23,sys3,48.31,509.5,99.51,1.000
25.24,sys1,89.73,509.2,99.46,1.000
26.22,sys4,69.16,483.0,94.35,1.000
26.23,sys2,61.63,239.1,46.69,1.000
26.23,sys3,50.09,510.5,99.70,1.000
26.24,sys1,94.94,507.6,99.15,1.000
27.22,sys4,45.55,482.8,94.29,1.000
27.23,sys2,46.94,240.1,46.89,1.000
27.24,sys1,88.01,508.1,99.24,1.000
27.24,sys3,68.24,509.7,99.56,1.000
28.23,sys2,52.92,239.9,46.86,1.000
28.23,sys4,59.50,482.8,94.30,1.000
28.24,sys3,72.68,509.7,99.55,1.000
28.25,sys1,87.22,507.0,99.02,1.000
29.23,sys2,56.95,239.5,46.77,1.000
29.23,sys4,41.78,482.8,94.29,1.000
29.24,sys3,75.43,509.1,99.44,1.000
29.25,sys1,101.18,508.4,99.30,1.000
30.23,sys2,24.83,239.3,46.75,1.000
30.23,sys4,40.63,483.0,94.34,1.000
30.24,sys3,63.33,510.1,99.64,1.000
30.29,sys1,97.55,508.4,99.31,1.000
31.23,sys4,51.04,482.9,94.32,1.000
31.24,sys2,57.28,239.6,46.80,1.000
31.24,sys3,76.27,508.7,99.36,1.000
31.29,sys1,90.85,508.5,99.31,1.000
32.23,sys4,50.72,485.9,94.91,1.000
32.24,sys2,27.60,239.3,46.74,1.000
32.24,sys3,63.48,509.3,99.47,1.000
32.29,sys1,86.66,508.9,99.39,1.000
33.24,sys2,46.27,239.6,46.79,1.000
33.24,sys4,64.78,485.9,94.90,1.000
33.25,sys3,59.63,508.6,99.34,1.000
33.29,sys1,92.13,509.1,99.43,1.000
34.24,sys4,48.08,484.7,94.68,1.000
34.25,sys2,48.29,240.1,46.89,1.000
34.25,sys3,44.57,510.0,99.61,1.000
34.29,sys1,81.18,506.7,98.97,1.000
35.24,sys4,31.51,483.2,94.38,1.000
35.25,sys2,39.75,240.8,47.04,1.000
35.25,sys3,42.04,508.9,99.39,1.000
35.29,sys1,78.09,508.0,99.22,1.000
36.24,sys4,42.60,482.7,94.28,1.000
36.25,sys2,49.80,239.6,46.79,1.000
36.25,sys3,69.83,508.9,99.39,1.000
36.3,sys1,68.96,509.2,99.45,1.000
37.24,sys4,35.95,483.6,94.45,1.000
37.25,sys2,31.33,239.6,46.79,1.000
37.25,sys3,56.34,510.0,99.60,1.000
37.3,sys1,76.65,510.6,99.72,1.000
38.25,sys2,31.04,240.3,46.94,1.000
38.25,sys3,61.24,508.8,99.37,1.000
38.25,sys4,18.57,482.8,94.30,1.000
38.3,sys1,70.45,509.4,99.49,1.000
39.25,sys2,50.08,239.6,46.80,1.000
39.25,sys3,63.89,509.8,99.57,1.000
39.25,sys4,33.54,483.8,94.50,1.000
39.3,sys1,87.84,509.3,99.48,1.000
40.25,sys4,45.91,482.4,94.22,1.000
40.26,sys2,45.06,240.2,46.91,1.000
40.26,sys3,67.92,510.1,99.63,1.000
40.3,sys1,74.17,509.8,99.56,1.000
41.26,sys2,44.03,241.2,47.10,1.000
41.26,sys3,63.00,509.3,99.47,1.000
41.26,sys4,41.66,482.9,94.32,1.000
41.31,sys1,69.28,510.5,99.71,1.000
42.26,sys2,55.58,240.1,46.90,1.000
42.26,sys3,65.93,508.8,99.37,1.000
42.26,sys4,32.73,482.7,94.27,1.000
42.31,sys1,69.63,509.9,99.59,1.000
43.26,sys2,42.08,240.4,46.95,1.000
