t,system,cpu_pct,mem_mb,mem_pct,quota_cores
1.08,sys1,90.78,474.9,92.76,1.000
1.08,sys4,36.58,481.9,94.13,1.000
1.09,sys2,62.75,243.8,47.61,1.000
1.09,sys3,68.71,511.2,99.84,1.000
2.08,sys1,82.23,476.4,93.05,1.000
2.08,sys4,35.03,483.0,94.34,1.000
2.09,sys2,34.79,243.7,47.61,1.000
2.09,sys3,60.27,510.7,99.75,1.000
3.08,sys4,39.55,483.1,94.35,1.000
3.09,sys1,65.18,477.7,93.31,1.000
3.09,sys2,45.10,242.8,47.43,1.000
3.09,sys3,56.64,510.7,99.75,1.000
4.09,sys1,81.11,480.0,93.76,1.000
4.09,sys3,56.79,510.6,99.72,1.000
4.09,sys4,37.54,484.2,94.57,1.000
4.1,sys2,38.53,241.9,47.25,1.000
5.09,sys1,81.49,479.0,93.55,1.000
5.09,sys3,75.61,510.4,99.68,1.000
5.09,sys4,69.01,483.8,94.49,1.000
5.1,sys2,27.60,241.9,47.25,1.000
6.09,sys1,82.10,477.3,93.23,1.000
6.09,sys4,57.60,483.2,94.38,1.000
6.1,sys2,39.87,241.9,47.25,1.000
6.1,sys3,60.72,509.9,99.59,1.000
7.09,sys1,93.89,478.5,93.46,1.000
7.09,sys4,37.81,483.8,94.48,1.000
7.1,sys2,56.02,243.2,47.51,1.000
7.1,sys3,68.12,509.6,99.53,1.000
8.09,sys1,95.27,480.4,93.83,1.000
8.09,sys4,65.82,482.7,94.28,1.000
8.1,sys2,47.01,242.2,47.30,1.000
8.1,sys3,68.19,509.8,99.56,1.000
9.09,sys1,82.95,479.5,93.66,1.000
9.09,sys4,46.99,482.7,94.27,1.000
9.1,sys2,34.91,242.2,47.30,1.000
9.1,sys3,71.81,510.0,99.60,1.000
10.09,sys4,27.19,483.4,94.42,1.000
10.1,sys1,75.16,481.8,94.10,1.000
10.1,sys2,35.18,242.2,47.30,1.000
10.11,sys3,70.29,509.8,99.56,1.000
11.1,sys1,49.61,482.8,94.30,1.000
11.1,sys4,28.97,482.7,94.27,1.000
11.11,sys2,16.50,242.2,47.30,1.000
11.11,sys3,30.76,509.7,99.54,1.000
12.1,sys1,83.25,481.3,94.00,1.000
12.1,sys4,53.65,482.7,94.27,1.000
12.11,sys2,58.36,242.4,47.35,1.000
12.11,sys3,43.90,509.5,99.52,1.000
13.1,sys1,81.54,481.3,94.00,1.000
13.11,sys3,47.24,510.6,99.72,1.000
13.11,sys4,48.68,482.9,94.32,1.000
13.12,sys2,49.74,242.2,47.30,1.000
14.11,sys1,103.73,482.3,94.20,1.000
14.11,sys4,59.30,482.7,94.27,1.000
14.12,sys2,52.84,242.2,47.30,1.000
14.12,sys3,50.34,509.7,99.56,1.000
15.11,sys1,79.17,480.3,93.82,1.000
15.11,sys4,56.43,482.8,94.29,1.000
15.12,sys2,60.51,242.3,47.32,1.000
15.12,sys3,47.97,509.8,99.58,1.000
16.11,sys1,81.67,478.9,93.54,1.000
16.12,sys2,32.40,242.2,47.30,1.000
16.12,sys3,69.28,509.9,99.58,1.000
16.12,sys4,31.04,482.7,94.27,1.000
17.11,sys1,101.33,483.4,94.42,1.000
17.12,sys2,61.59,242.3,47.33,1.000
17.12,sys4,47.71,483.3,94.39,1.000
17.13,sys3,98.04,509.7,99.55,1.000
18.13,sys2,29.82,242.4,47.34,1.000
18.13,sys3,61.96,510.2,99.64,1.000
18.13,sys4,40.81,482.8,94.30,1.000
18.15,sys1,73.71,480.5,93.84,1.000
19.13,sys2,55.27,242.4,47.34,1.000
19.13,sys3,64.26,509.6,99.53,1.000
19.13,sys4,26.62,484.0,94.53,1.000
19.15,sys1,75.09,480.5,93.85,1.000
20.13,sys2,51.41,242.4,47.35,1.000
20.13,sys3,68.41,509.4,99.49,1.000
20.13,sys4,40.52,484.3,94.59,1.000
20.15,sys1,78.51,483.8,94.49,1.000
21.13,sys2,42.74,242.4,47.35,1.000
21.13,sys3,74.71,508.5,99.31,1.000
21.13,sys4,65.12,483.0,94.33,1.000
21.16,sys1,89.50,482.4,94.22,1.000
22.13,sys2,29.55,242.3,47.32,1.000
22.13,sys3,55.93,509.9,99.59,1.000
22.13,sys4,37.87,482.7,94.28,1.000
22.16,sys1,84.52,481.8,94.10,1.000
23.13,sys4,27.97,482.7,94.27,1.000
23.14,sys2,45.49,242.3,47.32,1.000
23.14,sys3,65.60,508.8,99.37,1.000
23.16,sys1,82.30,483.5,94.42,1.000
24.14,sys2,21.40,242.3,47.32,1.000
24.14,sys3,76.62,511.3,99.87,1.000
24.14,sys4,36.97,482.9,94.32,1.000
24.16,sys1,84.43,486.9,95.09,1.000
25.14,sys2,70.67,242.7,47.40,1.000
25.14,sys3,44.38,508.6,99.33,1.000
25.14,sys4,56.75,482.7,94.27,1.000
25.16,sys1,83.41,482.8,94.31,1.000
26.14,sys2,55.00,242.6,47.39,1.000
26.14,sys3,34.76,508.7,99.36,1.000
26.14,sys4,50.06,483.7,94.47,1.000
26.16,sys1,76.06,484.4,94.60,1.000
27.14,sys3,44.62,508.9,99.39,1.000
27.14,sys4,40.31,482.6,94.27,1.000
27.15,sys2,49.04,242.6,47.39,1.000
