t,system,cpu_pct,mem_mb,mem_pct,quota_cores
1.07,sys2,0.83,241.7,47.20,1.000
1.08,sys1,0.45,479.6,93.67,1.000
1.08,sys4,0.72,438.9,85.71,1.000
1.09,sys3,0.09,467.9,91.40,1.000
2.07,sys2,0.92,241.4,47.15,1.000
2.08,sys1,0.80,479.4,93.64,1.000
2.08,sys4,0.84,438.9,85.73,1.000
2.09,sys3,0.28,467.9,91.39,1.000
3.08,sys1,87.37,481.0,93.95,1.000
3.08,sys2,46.47,243.1,47.49,1.000
3.08,sys4,0.75,438.9,85.73,1.000
3.09,sys3,14.44,468.2,91.45,1.000
4.08,sys2,74.43,242.9,47.45,1.000
4.08,sys4,0.70,438.9,85.73,1.000
4.09,sys1,93.14,485.8,94.88,1.000
4.09,sys3,15.49,468.0,91.41,1.000
5.08,sys2,50.27,241.9,47.25,1.000
5.09,sys1,94.22,480.7,93.88,1.000
5.09,sys3,12.49,468.0,91.41,1.000
5.09,sys4,0.80,438.9,85.73,1.000
6.08,sys2,57.58,241.9,47.25,1.000
6.09,sys1,69.97,480.9,93.92,1.000
6.09,sys3,13.36,468.3,91.46,1.000
6.09,sys4,0.61,438.9,85.73,1.000
7.09,sys1,81.73,483.8,94.49,1.000
7.09,sys2,58.42,241.7,47.20,1.000
7.09,sys4,0.67,438.9,85.73,1.000
7.1,sys3,6.51,468.1,91.42,1.000
8.09,sys2,48.15,241.9,47.25,1.000
8.1,sys1,88.86,482.2,94.17,1.000
8.1,sys3,15.21,468.1,91.42,1.000
8.1,sys4,0.66,438.9,85.73,1.000
9.09,sys2,74.19,241.9,47.25,1.000
9.1,sys1,97.82,484.1,94.56,1.000
9.1,sys3,21.51,468.3,91.47,1.000
9.1,sys4,0.64,438.9,85.73,1.000
10.09,sys2,75.98,242.5,47.36,1.000
10.1,sys1,92.08,484.7,94.68,1.000
10.1,sys3,21.12,468.1,91.44,1.000
10.1,sys4,1.75,438.9,85.73,1.000
11.09,sys2,88.21,242.0,47.26,1.000
11.1,sys1,101.68,485.1,94.74,1.000
11.1,sys3,18.82,468.1,91.43,1.000
11.1,sys4,0.76,438.9,85.73,1.000
12.09,sys2,38.29,244.0,47.65,1.000
12.1,sys1,68.96,483.9,94.52,1.000
12.11,sys3,10.28,468.4,91.48,1.000
12.11,sys4,0.65,438.9,85.73,1.000
13.09,sys2,86.94,242.3,47.32,1.000
13.11,sys1,85.92,489.9,95.68,1.000
13.11,sys3,8.89,468.2,91.45,1.000
13.11,sys4,0.70,438.7,85.68,1.000
14.09,sys2,83.03,242.6,47.38,1.000
14.11,sys1,90.85,484.4,94.61,1.000
14.11,sys3,26.23,468.2,91.44,1.000
14.11,sys4,0.65,438.7,85.68,1.000
15.1,sys2,69.30,243.8,47.62,1.000
15.11,sys1,93.07,486.3,94.98,1.000
15.11,sys3,15.35,468.0,91.40,1.000
15.11,sys4,0.73,438.7,85.68,1.000
16.1,sys2,67.14,243.7,47.60,1.000
16.11,sys1,87.02,483.1,94.36,1.000
16.11,sys3,9.83,468.2,91.45,1.000
16.11,sys4,0.83,438.7,85.68,1.000
17.1,sys2,68.36,243.2,47.50,1.000
17.11,sys1,97.77,482.9,94.31,1.000
17.11,sys3,20.95,468.2,91.45,1.000
17.11,sys4,0.74,438.7,85.68,1.000
18.1,sys2,73.34,243.3,47.52,1.000
18.11,sys3,14.90,468.1,91.42,1.000
18.12,sys1,97.73,491.6,96.01,1.000
18.12,sys4,0.66,438.7,85.68,1.000
19.1,sys2,65.81,243.4,47.55,1.000
19.11,sys3,15.93,468.6,91.52,1.000
19.12,sys1,81.66,488.3,95.36,1.000
19.13,sys4,0.84,438.7,85.68,1.000
20.1,sys2,72.32,244.4,47.74,1.000
20.12,sys1,89.81,482.7,94.27,1.000
20.12,sys3,25.25,468.2,91.44,1.000
20.13,sys4,0.71,438.7,85.68,1.000
21.1,sys2,77.80,243.7,47.60,1.000
21.12,sys3,7.12,468.2,91.44,1.000
21.14,sys4,0.64,438.7,85.68,1.000
21.18,sys1,98.59,491.8,96.06,1.000
22.1,sys2,72.23,243.1,47.48,1.000
22.12,sys3,15.83,468.6,91.53,1.000
22.14,sys4,0.71,438.7,85.68,1.000
22.18,sys1,82.62,484.7,94.67,1.000
23.1,sys2,81.78,242.3,47.33,1.000
23.12,sys3,18.61,468.4,91.49,1.000
23.14,sys4,0.57,438.7,85.68,1.000
23.18,sys1,101.42,485.8,94.89,1.000
24.11,sys2,81.44,243.0,47.46,1.000
24.12,sys3,15.14,468.5,91.50,1.000
24.14,sys4,0.66,438.7,85.68,1.000
24.19,sys1,95.05,484.1,94.54,1.000
25.11,sys2,65.84,243.4,47.55,1.000
25.12,sys3,18.52,468.5,91.50,1.000
25.14,sys4,0.67,438.7,85.68,1.000
25.19,sys1,93.89,484.4,94.60,1.000
26.11,sys2,73.07,243.7,47.59,1.000
26.13,sys3,14.60,468.3,91.46,1.000
26.14,sys4,0.70,438.7,85.68,1.000
26.19,sys1,94.46,487.4,95.20,1.000
27.11,sys2,64.14,243.8,47.62,1.000
27.13,sys3,14.09,468.5,91.51,1.000
27.14,sys4,1.23,438.7,85.68,1.000
27.19,sys1,91.00,482.4,94.23,1.000
28.11,sys2,54.36,243.8,47.62,1.000
28.14,sys3,14.08,468.3,91.47,1.000
28.15,sys4,0.66,438.9,85.73,1.000
28.19,sys1,84.84,482.0,94.13,1.000
29.11,sys2,82.76,243.2,47.49,1.000
29.14,sys3,13.14,468.4,91.47,1.000
29.15,sys4,0.67,438.9,85.73,1.000
29.19,sys1,106.10,489.6,95.63,1.000
30.11,sys2,79.79,244.4,47.73,1.000
30.14,sys3,21.84,468.4,91.48,1.000
30.15,sys4,0.99,438.9,85.73,1.000
30.19,sys1,80.16,482.8,94.31,1.000
