t,system,cpu_pct,mem_mb,mem_pct,quota_cores
1.07,sys1,5.21,463.5,90.53,1.000
1.07,sys2,3.43,241.1,47.08,1.000
1.07,sys4,2.02,481.6,94.07,1.000
1.08,sys3,5.01,509.3,99.48,1.000
2.07,sys1,1.39,463.4,90.51,1.000
2.07,sys2,1.72,241.1,47.08,1.000
2.07,sys4,1.53,480.9,93.92,1.000
2.08,sys3,2.55,509.3,99.47,1.000
3.07,sys1,96.02,481.8,94.11,1.000
3.07,sys2,57.00,241.8,47.22,1.000
3.07,sys4,47.33,481.6,94.07,1.000
3.08,sys3,46.22,510.1,99.62,1.000
4.07,sys1,9.73,479.7,93.69,1.000
4.07,sys2,10.76,241.6,47.19,1.000
4.07,sys4,20.84,481.6,94.07,1.000
4.08,sys3,14.44,510.1,99.62,1.000
5.07,sys1,5.43,478.2,93.40,1.000
5.07,sys2,1.29,241.6,47.18,1.000
5.07,sys4,5.99,481.7,94.07,1.000
5.08,sys3,8.43,509.7,99.55,1.000
6.07,sys1,6.34,477.4,93.24,1.000
6.07,sys2,0.65,241.6,47.19,1.000
6.07,sys4,7.25,481.6,94.07,1.000
6.08,sys3,5.22,509.7,99.54,1.000
7.07,sys1,12.43,475.9,92.96,1.000
7.07,sys2,0.60,241.7,47.20,1.000
7.08,sys3,3.48,509.6,99.53,1.000
7.08,sys4,15.25,481.6,94.07,1.000
8.08,sys1,10.53,476.1,92.99,1.000
8.08,sys2,1.11,241.6,47.18,1.000
8.08,sys3,5.98,509.6,99.53,1.000
8.08,sys4,13.25,481.8,94.10,1.000
9.08,sys1,8.62,475.7,92.90,1.000
9.08,sys2,2.69,241.6,47.18,1.000
9.08,sys4,11.92,481.8,94.11,1.000
9.09,sys3,7.36,509.6,99.53,1.000
10.08,sys1,9.48,475.4,92.85,1.000
10.08,sys2,1.71,241.6,47.18,1.000
10.08,sys4,9.69,482.0,94.15,1.000
10.09,sys3,14.01,509.6,99.53,1.000
11.08,sys1,10.19,475.0,92.77,1.000
11.08,sys2,2.73,241.5,47.17,1.000
11.08,sys4,13.23,481.8,94.10,1.000
11.09,sys3,7.50,509.6,99.52,1.000
12.08,sys1,12.39,475.3,92.83,1.000
12.08,sys2,0.46,241.6,47.18,1.000
12.08,sys4,14.08,481.6,94.06,1.000
12.09,sys3,3.71,509.6,99.52,1.000
13.08,sys2,0.47,241.6,47.18,1.000
13.08,sys4,6.19,481.6,94.06,1.000
13.09,sys1,6.96,474.8,92.74,1.000
13.09,sys3,4.56,509.8,99.57,1.000
14.08,sys4,7.04,482.1,94.16,1.000
14.09,sys1,3.07,474.7,92.72,1.000
14.09,sys2,1.56,240.5,46.97,1.000
14.09,sys3,2.76,509.6,99.52,1.000
15.08,sys4,9.91,482.2,94.19,1.000
15.09,sys1,5.56,474.6,92.69,1.000
15.09,sys2,1.32,240.5,46.97,1.000
15.09,sys3,7.74,509.6,99.53,1.000
16.08,sys4,15.72,482.0,94.14,1.000
16.09,sys1,12.35,474.8,92.73,1.000
16.09,sys2,0.60,240.5,46.98,1.000
16.1,sys3,6.75,509.6,99.53,1.000
17.08,sys4,11.76,482.2,94.19,1.000
17.09,sys1,5.18,475.0,92.77,1.000
17.09,sys2,1.13,240.5,46.97,1.000
17.1,sys3,5.81,509.6,99.52,1.000
18.08,sys4,10.39,482.3,94.19,1.000
18.09,sys2,0.92,240.5,46.98,1.000
18.1,sys1,7.11,474.7,92.72,1.000
18.1,sys3,3.87,509.6,99.53,1.000
19.08,sys4,9.44,482.3,94.19,1.000
19.09,sys2,0.51,240.5,46.97,1.000
19.1,sys1,8.79,474.4,92.66,1.000
19.1,sys3,4.41,509.8,99.58,1.000
20.09,sys4,7.70,482.3,94.19,1.000
20.1,sys1,3.69,474.4,92.65,1.000
20.1,sys2,1.43,240.7,47.02,1.000
20.1,sys3,3.59,509.6,99.54,1.000
21.09,sys4,15.58,482.0,94.15,1.000
21.1,sys1,7.68,474.6,92.70,1.000
21.1,sys2,0.60,240.5,46.97,1.000
21.1,sys3,4.53,509.9,99.59,1.000
22.09,sys4,8.96,481.8,94.10,1.000
22.1,sys1,9.26,474.3,92.63,1.000
22.1,sys2,0.49,240.5,46.98,1.000
22.1,sys3,5.50,509.6,99.54,1.000
23.09,sys4,11.21,481.8,94.10,1.000
23.1,sys1,8.86,474.6,92.70,1.000
23.1,sys2,1.25,240.1,46.90,1.000
23.11,sys3,6.49,509.7,99.55,1.000
24.1,sys1,6.52,474.5,92.68,1.000
24.1,sys2,2.27,240.5,46.97,1.000
24.1,sys4,9.30,482.2,94.19,1.000
24.11,sys3,8.06,509.6,99.54,1.000
25.1,sys4,9.29,482.2,94.19,1.000
25.11,sys1,9.85,474.4,92.66,1.000
25.11,sys2,0.85,240.6,47.00,1.000
25.11,sys3,8.83,509.7,99.54,1.000
26.1,sys4,10.15,481.8,94.10,1.000
26.11,sys1,8.37,474.9,92.76,1.000
26.11,sys2,3.76,240.1,46.89,1.000
26.11,sys3,5.25,509.6,99.54,1.000
27.1,sys4,5.97,482.0,94.14,1.000
27.11,sys1,6.76,474.3,92.64,1.000
27.11,sys2,0.60,240.1,46.90,1.000
27.11,sys3,2.88,509.9,99.59,1.000
28.1,sys4,9.04,481.8,94.10,1.000
28.11,sys1,4.30,474.3,92.64,1.000
28.11,sys2,0.67,240.1,46.90,1.000
28.11,sys3,4.54,509.6,99.54,1.000
29.11,sys1,5.82,474.4,92.66,1.000
29.11,sys2,1.62,240.2,46.91,1.000
29.11,sys3,3.58,509.9,99.58,1.000
29.11,sys4,9.25,481.8,94.10,1.000
30.11,sys2,1.55,240.6,46.99,1.000
30.11,sys3,7.84,509.7,99.55,1.000
30.11,sys4,13.88,482.1,94.15,1.000
30.12,sys1,5.76,474.3,92.63,1.000
31.11,sys3,4.27,509.8,99.56,1.000
31.11,sys4,8.41,482.3,94.20,1.000
31.12,sys1,6.30,474.2,92.62,1.000
31.12,sys2,0.79,240.4,46.95,1.000
32.12,sys1,9.63,474.8,92.74,1.000
32.12,sys2,1.57,240.5,46.97,1.000
32.12,sys3,4.87,509.6,99.54,1.000
32.12,sys4,16.41,482.0,94.15,1.000
33.12,sys1,40.05,475.5,92.86,1.000
33.12,sys2,5.47,240.4,46.96,1.000
33.12,sys3,22.73,510.1,99.63,1.000
33.12,sys4,37.99,482.0,94.14,1.000
34.12,sys1,35.22,476.0,92.96,1.000
34.12,sys2,9.10,241.6,47.19,1.000
34.12,sys3,15.51,509.7,99.55,1.000
