t,system,cpu_pct,mem_mb,mem_pct,quota_cores
1.6,sys1,0.96,471.2,92.02,1.000
1.6,sys3,1.11,510.2,99.65,1.000
1.6,sys4,5.81,479.2,93.60,1.000
1.62,sys2,0.87,243.1,47.47,1.000
2.6,sys1,13.37,472.2,92.22,1.000
2.6,sys3,4.42,510.5,99.70,1.000
2.6,sys4,2.42,479.6,93.68,1.000
2.62,sys2,12.68,244.1,47.68,1.000
3.6,sys1,14.41,472.5,92.28,1.000
3.6,sys4,2.58,479.7,93.69,1.000
3.61,sys3,13.87,510.5,99.70,1.000
3.62,sys2,27.89,242.6,47.38,1.000
4.6,sys4,3.64,479.5,93.66,1.000
4.61,sys1,13.67,472.7,92.32,1.000
4.61,sys3,11.72,510.4,99.70,1.000
4.62,sys2,19.53,244.2,47.69,1.000
5.61,sys1,17.10,472.4,92.27,1.000
5.61,sys3,24.78,510.4,99.69,1.000
5.61,sys4,4.27,479.7,93.68,1.000
5.62,sys2,33.38,244.6,47.78,1.000
6.61,sys1,21.45,471.7,92.12,1.000
6.61,sys4,7.37,479.8,93.71,1.000
6.62,sys2,30.13,244.4,47.74,1.000
6.62,sys3,21.64,510.5,99.70,1.000
7.61,sys1,10.87,473.1,92.39,1.000
7.61,sys4,4.54,479.9,93.73,1.000
7.62,sys3,16.02,510.4,99.69,1.000
7.63,sys2,21.51,244.1,47.67,1.000
8.61,sys1,13.97,472.2,92.23,1.000
8.61,sys4,3.29,479.5,93.65,1.000
8.62,sys3,12.51,510.3,99.66,1.000
8.63,sys2,14.92,244.3,47.72,1.000
9.61,sys1,18.75,471.7,92.12,1.000
9.61,sys4,5.79,479.8,93.71,1.000
9.62,sys3,17.55,510.5,99.70,1.000
9.63,sys2,25.30,244.1,47.67,1.000
10.61,sys1,19.89,472.4,92.26,1.000
10.62,sys4,6.19,478.9,93.53,1.000
10.63,sys2,32.56,244.1,47.68,1.000
10.63,sys3,21.76,510.8,99.76,1.000
11.61,sys1,15.19,472.5,92.29,1.000
11.62,sys4,4.74,479.3,93.61,1.000
11.63,sys2,20.91,244.4,47.73,1.000
11.63,sys3,18.93,510.6,99.72,1.000
12.62,sys1,14.81,472.6,92.30,1.000
12.62,sys4,3.62,479.8,93.72,1.000
12.63,sys2,21.73,244.1,47.68,1.000
12.63,sys3,15.18,510.8,99.76,1.000
13.62,sys1,9.99,473.8,92.53,1.000
13.62,sys4,3.95,479.8,93.70,1.000
13.63,sys2,12.39,244.1,47.68,1.000
13.63,sys3,7.95,510.5,99.71,1.000
14.62,sys1,15.82,472.6,92.31,1.000
14.62,sys4,1.52,479.8,93.71,1.000
14.64,sys2,16.61,244.1,47.68,1.000
14.64,sys3,6.96,510.5,99.71,1.000
15.62,sys1,24.30,472.3,92.26,1.000
15.63,sys4,5.18,479.2,93.60,1.000
15.64,sys2,37.15,244.2,47.69,1.000
15.64,sys3,16.51,510.6,99.73,1.000
16.62,sys1,20.84,472.0,92.18,1.000
16.63,sys4,6.77,479.5,93.66,1.000
16.64,sys2,27.58,244.7,47.79,1.000
16.64,sys3,15.84,510.8,99.77,1.000
17.63,sys1,21.16,472.5,92.29,1.000
17.63,sys4,3.07,480.1,93.77,1.000
17.64,sys3,22.21,510.5,99.71,1.000
17.65,sys2,28.62,244.1,47.68,1.000
18.63,sys1,18.67,472.6,92.30,1.000
18.63,sys4,5.66,479.5,93.64,1.000
18.65,sys2,26.14,244.2,47.69,1.000
18.65,sys3,18.22,510.6,99.72,1.000
19.63,sys1,8.36,472.7,92.32,1.000
19.64,sys4,3.09,479.6,93.68,1.000
19.65,sys2,2.65,244.1,47.69,1.000
19.65,sys3,15.01,510.6,99.72,1.000
20.64,sys1,10.44,473.4,92.47,1.000
20.64,sys4,2.27,479.8,93.70,1.000
20.65,sys3,15.00,510.6,99.72,1.000
20.66,sys2,3.38,244.1,47.69,1.000
21.64,sys1,11.42,473.4,92.46,1.000
21.64,sys4,6.09,479.7,93.70,1.000
21.65,sys3,23.03,511.1,99.83,1.000
21.66,sys2,1.04,244.1,47.68,1.000
22.64,sys1,8.39,473.8,92.54,1.000
22.64,sys4,7.40,479.8,93.72,1.000
22.66,sys2,3.10,244.1,47.68,1.000
22.66,sys3,30.04,511.8,99.95,1.000
23.64,sys4,2.80,479.5,93.65,1.000
23.65,sys1,14.41,473.1,92.41,1.000
23.66,sys2,1.95,243.1,47.49,1.000
23.66,sys3,18.36,511.1,99.83,1.000
24.64,sys4,3.75,480.1,93.77,1.000
24.65,sys1,12.71,473.4,92.46,1.000
24.66,sys2,1.44,243.2,47.49,1.000
24.66,sys3,18.48,511.6,99.93,1.000
25.64,sys4,2.23,480.0,93.74,1.000
25.65,sys1,14.12,473.1,92.41,1.000
25.66,sys2,1.32,243.1,47.49,1.000
25.66,sys3,20.68,510.9,99.78,1.000
26.65,sys1,7.52,473.7,92.52,1.000
26.65,sys4,2.57,479.8,93.71,1.000
26.66,sys3,12.57,510.9,99.79,1.000
26.67,sys2,0.75,243.1,47.49,1.000
27.65,sys1,15.50,473.9,92.56,1.000
27.65,sys4,1.51,479.1,93.58,1.000
27.67,sys2,0.70,243.1,47.49,1.000
27.67,sys3,17.99,510.9,99.78,1.000
28.65,sys1,9.45,474.6,92.70,1.000
28.65,sys4,3.15,479.7,93.70,1.000
28.67,sys2,2.30,243.1,47.49,1.000
28.67,sys3,20.59,510.7,99.74,1.000
29.65,sys1,12.53,473.3,92.44,1.000
29.65,sys4,1.39,479.5,93.66,1.000
29.67,sys2,1.01,243.2,47.50,1.000
29.67,sys3,19.18,511.8,99.95,1.000
30.65,sys4,2.19,479.4,93.63,1.000
30.66,sys1,11.00,473.2,92.42,1.000
30.67,sys2,0.74,243.2,47.50,1.000
30.67,sys3,15.87,510.8,99.77,1.000
31.65,sys4,4.12,479.8,93.71,1.000
31.66,sys1,8.19,473.5,92.47,1.000
31.67,sys3,21.92,511.0,99.81,1.000
31.68,sys2,2.22,243.1,47.49,1.000
32.65,sys4,1.53,479.6,93.67,1.000
32.66,sys1,7.12,473.4,92.46,1.000
32.68,sys2,5.81,242.7,47.40,1.000
32.68,sys3,12.50,510.9,99.79,1.000
33.66,sys1,12.96,474.3,92.64,1.000
33.66,sys4,2.10,479.4,93.63,1.000
33.68,sys2,1.69,242.8,47.42,1.000
33.68,sys3,14.98,510.9,99.78,1.000
34.66,sys1,11.19,473.4,92.47,1.000
34.66,sys4,5.50,479.3,93.61,1.000
34.68,sys2,2.49,243.0,47.46,1.000
34.68,sys3,21.43,511.2,99.84,1.000
35.66,sys4,3.13,479.3,93.62,1.000
35.67,sys1,19.27,473.2,92.42,1.000
35.68,sys2,2.49,243.1,47.48,1.000
35.68,sys3,34.57,511.8,99.97,1.000
36.66,sys4,2.66,479.5,93.65,1.000
36.67,sys1,11.34,473.2,92.41,1.000
36.68,sys3,25.28,510.4,99.69,1.000
36.69,sys2,2.84,243.2,47.49,1.000
37.67,sys1,16.21,473.5,92.49,1.000
37.67,sys4,6.78,479.6,93.67,1.000
37.68,sys3,39.41,510.6,99.72,1.000
37.69,sys2,4.83,242.7,47.40,1.000
38.67,sys1,15.00,473.8,92.54,1.000
38.67,sys4,3.42,479.1,93.58,1.000
38.68,sys3,27.33,510.0,99.61,1.000
38.69,sys2,3.79,242.9,47.45,1.000
39.67,sys4,5.14,479.1,93.58,1.000
39.68,sys1,10.75,473.2,92.43,1.000
39.69,sys3,35.66,510.7,99.74,1.000
39.7,sys2,4.45,242.8,47.41,1.000
40.68,sys1,11.58,473.0,92.38,1.000
40.68,sys4,4.20,479.8,93.71,1.000
40.69,sys3,24.48,509.8,99.57,1.000
40.7,sys2,2.93,242.5,47.37,1.000
41.68,sys1,16.45,473.9,92.56,1.000
41.68,sys4,6.14,479.6,93.68,1.000
41.69,sys3,32.51,510.0,99.62,1.000
41.7,sys2,2.31,242.9,47.44,1.000
42.68,sys1,12.26,473.2,92.42,1.000
42.68,sys4,5.57,479.2,93.59,1.000
42.69,sys3,29.05,509.9,99.58,1.000
42.7,sys2,2.26,243.0,47.46,1.000
43.68,sys1,12.28,474.3,92.65,1.000
43.68,sys4,1.99,479.4,93.64,1.000
43.7,sys2,3.74,242.6,47.38,1.000
43.7,sys3,30.65,509.8,99.58,1.000
44.68,sys4,5.22,479.6,93.68,1.000
44.69,sys1,22.78,472.6,92.31,1.000
44.7,sys2,7.90,242.7,47.41,1.000
44.7,sys3,64.73,509.9,99.60,1.000
45.68,sys4,4.47,479.7,93.69,1.000
45.69,sys1,19.68,474.1,92.60,1.000
45.7,sys3,38.41,510.1,99.62,1.000
45.71,sys2,2.44,242.8,47.42,1.000
46.68,sys4,6.59,479.2,93.59,1.000
46.69,sys1,19.45,474.5,92.68,1.000
46.7,sys3,35.28,510.5,99.71,1.000
46.71,sys2,3.94,242.5,47.36,1.000
47.68,sys4,3.27,479.5,93.66,1.000
47.69,sys1,15.02,473.9,92.57,1.000
47.7,sys3,27.41,510.0,99.62,1.000
47.71,sys2,2.01,242.3,47.33,1.000
48.68,sys4,0.88,479.8,93.70,1.000
48.69,sys1,0.57,473.7,92.51,1.000
48.71,sys2,0.68,242.6,47.38,1.000
48.71,sys3,0.62,510.0,99.62,1.000
