t,system,cpu_pct,mem_mb,mem_pct,quota_cores
1.23,sys1,0.39,506.5,98.93,1.000
1.23,sys2,0.62,234.0,45.70,1.000
1.23,sys3,0.20,505.8,98.78,1.000
1.23,sys4,2.17,477.1,93.19,1.000
2.23,sys1,2.82,506.1,98.85,1.000
2.23,sys2,1.07,234.3,45.76,1.000
2.23,sys3,0.65,506.3,98.88,1.000
2.23,sys4,1.40,476.9,93.14,1.000
3.23,sys1,82.73,509.4,99.49,1.000
3.23,sys4,58.09,478.3,93.42,1.000
3.24,sys3,81.92,508.9,99.40,1.000
3.25,sys2,62.96,236.2,46.13,1.000
4.23,sys1,65.35,509.2,99.46,1.000
4.23,sys4,43.19,478.4,93.44,1.000
4.24,sys3,63.93,510.7,99.74,1.000
4.25,sys2,45.64,235.9,46.07,1.000
5.23,sys1,77.65,511.5,99.91,1.000
5.23,sys4,41.00,478.4,93.44,1.000
5.24,sys3,72.69,511.2,99.85,1.000
5.25,sys2,46.77,236.0,46.10,1.000
6.24,sys1,76.73,511.6,99.92,1.000
6.24,sys3,83.83,511.9,99.97,1.000
6.24,sys4,49.33,478.2,93.41,1.000
6.26,sys2,46.73,236.3,46.15,1.000
7.24,sys1,90.58,511.5,99.90,1.000
7.24,sys3,84.87,511.8,99.97,1.000
7.24,sys4,54.80,479.2,93.60,1.000
7.26,sys2,59.05,236.3,46.15,1.000
8.24,sys1,89.56,511.0,99.80,1.000
8.25,sys3,89.80,511.6,99.91,1.000
8.25,sys4,58.67,479.5,93.66,1.000
8.26,sys2,66.80,237.4,46.38,1.000
9.25,sys1,89.99,511.2,99.84,1.000
9.25,sys3,69.99,511.3,99.87,1.000
9.25,sys4,60.27,478.3,93.41,1.000
9.27,sys2,52.86,236.3,46.16,1.000
10.25,sys1,81.00,508.8,99.38,1.000
10.25,sys3,73.23,511.4,99.88,1.000
10.25,sys4,55.52,478.7,93.49,1.000
10.27,sys2,50.84,236.1,46.11,1.000
11.25,sys1,102.64,510.4,99.69,1.000
11.25,sys3,81.19,511.6,99.92,1.000
11.25,sys4,78.06,479.1,93.58,1.000
11.27,sys2,61.89,236.2,46.13,1.000
12.25,sys1,80.33,509.8,99.57,1.000
12.25,sys3,69.06,511.4,99.88,1.000
12.25,sys4,40.12,479.1,93.58,1.000
12.28,sys2,51.48,236.1,46.11,1.000
13.25,sys1,74.50,508.2,99.27,1.000
13.25,sys3,68.79,511.6,99.93,1.000
13.25,sys4,48.18,479.3,93.61,1.000
13.28,sys2,61.25,237.0,46.29,1.000
14.25,sys4,62.85,480.0,93.75,1.000
14.26,sys1,97.30,511.0,99.81,1.000
14.26,sys3,68.77,511.6,99.91,1.000
14.28,sys2,53.59,237.5,46.39,1.000
15.26,sys1,77.56,511.6,99.92,1.000
15.26,sys3,73.74,511.0,99.81,1.000
15.26,sys4,55.47,479.0,93.56,1.000
15.28,sys2,44.47,236.9,46.27,1.000
16.26,sys1,96.22,511.6,99.92,1.000
16.26,sys3,80.90,510.6,99.73,1.000
16.26,sys4,58.78,479.3,93.62,1.000
16.28,sys2,64.00,236.7,46.22,1.000
17.26,sys1,64.26,510.3,99.67,1.000
17.26,sys4,43.95,479.8,93.72,1.000
17.27,sys3,57.36,512.0,100.00,1.000
17.29,sys2,36.52,237.9,46.46,1.000
18.26,sys1,87.51,509.0,99.41,1.000
18.26,sys4,55.00,481.2,93.98,1.000
18.27,sys3,60.22,509.2,99.45,1.000
18.29,sys2,46.14,238.1,46.51,1.000
19.26,sys1,88.46,510.8,99.76,1.000
19.26,sys4,53.28,480.5,93.85,1.000
19.27,sys3,60.59,508.1,99.24,1.000
19.29,sys2,51.76,236.6,46.22,1.000
20.26,sys4,63.46,479.4,93.64,1.000
20.27,sys1,77.49,510.9,99.78,1.000
20.27,sys3,76.23,508.0,99.22,1.000
20.29,sys2,42.67,236.7,46.22,1.000
21.27,sys3,66.20,508.2,99.26,1.000
21.27,sys4,68.58,479.5,93.65,1.000
21.29,sys2,60.67,236.9,46.27,1.000
21.31,sys1,89.42,510.3,99.67,1.000
22.27,sys3,59.52,509.0,99.42,1.000
22.27,sys4,37.95,479.9,93.73,1.000
22.3,sys2,60.95,237.3,46.34,1.000
22.31,sys1,78.70,510.5,99.71,1.000
23.27,sys4,59.50,479.9,93.73,1.000
23.28,sys3,80.19,508.5,99.31,1.000
23.3,sys2,55.55,237.0,46.28,1.000
23.31,sys1,83.62,511.7,99.94,1.000
24.27,sys4,59.64,480.4,93.83,1.000
24.28,sys3,79.55,508.4,99.30,1.000
24.3,sys2,58.92,238.0,46.49,1.000
24.31,sys1,90.91,510.8,99.76,1.000
25.27,sys4,42.09,480.3,93.82,1.000
25.28,sys3,46.65,508.8,99.37,1.000
25.3,sys2,46.57,238.3,46.54,1.000
25.31,sys1,77.50,509.9,99.59,1.000
26.27,sys4,76.01,480.5,93.85,1.000
26.28,sys3,63.85,508.6,99.33,1.000
26.3,sys2,43.29,238.1,46.50,1.000
26.31,sys1,87.03,508.1,99.24,1.000
27.27,sys4,39.63,480.2,93.80,1.000
27.29,sys3,58.59,508.7,99.36,1.000
27.3,sys2,58.80,239.3,46.74,1.000
27.32,sys1,76.87,509.9,99.60,1.000
28.28,sys4,53.14,480.8,93.90,1.000
28.29,sys3,57.97,508.8,99.38,1.000
28.3,sys2,46.66,238.1,46.50,1.000
28.32,sys1,94.69,509.7,99.55,1.000
29.28,sys4,46.55,480.8,93.90,1.000
29.29,sys3,74.38,508.8,99.38,1.000
29.3,sys2,46.92,238.0,46.49,1.000
29.32,sys1,81.17,508.9,99.40,1.000
30.28,sys4,43.91,481.0,93.94,1.000
30.29,sys3,69.16,508.4,99.30,1.000
30.31,sys2,57.33,238.4,46.56,1.000
30.32,sys1,84.40,510.5,99.71,1.000
31.28,sys4,48.37,481.2,93.99,1.000
31.3,sys3,63.02,509.0,99.40,1.000
31.31,sys2,40.42,237.5,46.38,1.000
31.32,sys1,84.72,510.3,99.66,1.000
32.28,sys4,57.74,480.8,93.90,1.000
32.3,sys3,55.09,509.0,99.42,1.000
32.31,sys2,47.32,237.4,46.37,1.000
32.32,sys1,80.64,507.6,99.13,1.000
33.28,sys4,42.53,481.2,93.99,1.000
33.3,sys3,61.24,509.3,99.47,1.000
33.31,sys2,50.02,237.7,46.42,1.000
33.32,sys1,75.36,510.5,99.70,1.000
34.28,sys4,50.71,480.5,93.85,1.000
34.3,sys3,75.04,509.1,99.44,1.000
34.31,sys2,40.18,238.2,46.52,1.000
34.33,sys1,64.47,511.0,99.80,1.000
35.29,sys4,36.80,482.0,94.14,1.000
35.3,sys3,56.18,511.2,99.85,1.000
35.32,sys2,55.64,238.2,46.53,1.000
35.33,sys1,75.38,507.9,99.21,1.000
36.29,sys4,43.77,480.5,93.85,1.000
36.3,sys3,56.04,509.3,99.47,1.000
36.32,sys2,32.09,238.5,46.57,1.000
36.33,sys1,85.22,511.4,99.88,1.000
37.29,sys4,42.23,480.5,93.85,1.000
37.3,sys3,54.88,510.0,99.60,1.000
37.32,sys2,52.98,238.0,46.48,1.000
37.33,sys1,88.74,511.6,99.93,1.000
38.3,sys4,57.83,480.5,93.85,1.000
38.31,sys3,61.22,510.2,99.65,1.000
38.32,sys2,36.46,238.2,46.53,1.000
38.34,sys1,80.76,510.6,99.73,1.000
39.3,sys4,38.83,480.5,93.85,1.000
39.31,sys3,70.17,509.9,99.60,1.000
39.32,sys2,45.65,239.5,46.77,1.000
39.34,sys1,71.77,512.0,99.99,1.000
40.3,sys4,41.99,480.7,93.88,1.000
40.31,sys3,64.14,510.3,99.67,1.000
40.33,sys2,47.28,238.4,46.57,1.000
40.34,sys1,79.32,509.5,99.52,1.000
41.3,sys4,57.33,480.4,93.84,1.000
41.31,sys3,67.95,510.5,99.70,1.000
41.33,sys2,60.28,238.0,46.48,1.000
41.34,sys1,91.71,510.5,99.70,1.000
42.3,sys4,43.73,482.5,94.24,1.000
42.31,sys3,73.96,511.2,99.84,1.000
42.33,sys2,52.35,239.2,46.72,1.000
42.34,sys1,83.84,511.8,99.95,1.000
43.3,sys4,56.63,481.0,93.95,1.000
43.34,sys1,83.31,509.4,99.50,1.000
43.34,sys3,75.50,510.5,99.70,1.000
43.38,sys2,53.90,238.7,46.62,1.000
44.31,sys4,54.97,483.2,94.38,1.000
44.34,sys1,96.24,511.7,99.94,1.000
44.34,sys3,73.87,511.2,99.85,1.000
44.38,sys2,54.13,239.0,46.68,1.000
45.31,sys4,39.54,481.1,93.96,1.000
45.34,sys3,56.86,510.7,99.75,1.000
45.35,sys1,69.71,509.7,99.55,1.000
45.38,sys2,43.38,238.2,46.53,1.000
46.31,sys4,53.06,482.1,94.17,1.000
46.34,sys3,58.89,511.8,99.97,1.000
46.39,sys2,56.13,238.0,46.48,1.000
46.41,sys1,81.51,508.2,99.25,1.000
47.31,sys4,46.27,481.1,93.97,1.000
47.34,sys3,65.97,510.9,99.79,1.000
47.39,sys2,48.70,237.7,46.43,1.000
47.41,sys1,89.37,510.3,99.67,1.000
48.31,sys4,23.33,480.9,93.92,1.000
48.34,sys3,20.75,510.6,99.73,1.000
48.39,sys2,10.77,237.7,46.43,1.000
48.42,sys1,26.24,509.5,99.50,1.000
49.31,sys4,0.82,480.9,93.92,1.000
49.34,sys3,0.75,510.6,99.73,1.000
49.39,sys2,0.65,237.7,46.43,1.000
49.42,sys1,1.57,508.2,99.27,1.000
