t,system,cpu_pct,mem_mb,mem_pct,quota_cores
1.67,sys1,0.85,474.3,92.64,1.000
1.67,sys2,0.76,243.4,47.54,1.000
1.68,sys4,1.44,479.7,93.70,1.000
1.69,sys3,1.14,506.1,98.85,1.000
2.67,sys2,16.55,242.2,47.31,1.000
2.68,sys1,27.04,479.6,93.68,1.000
2.68,sys4,14.14,478.0,93.35,1.000
2.69,sys3,17.49,505.9,98.81,1.000
3.67,sys2,20.32,242.1,47.28,1.000
3.68,sys1,22.54,482.3,94.20,1.000
3.68,sys4,19.10,478.5,93.45,1.000
3.69,sys3,23.44,506.1,98.85,1.000
4.67,sys2,0.92,242.1,47.29,1.000
4.68,sys1,0.70,480.9,93.92,1.000
4.68,sys4,1.43,478.0,93.37,1.000
4.7,sys3,1.88,506.3,98.89,1.000
5.68,sys1,11.06,479.3,93.62,1.000
5.68,sys2,13.52,242.1,47.28,1.000
5.69,sys4,15.70,478.4,93.43,1.000
5.7,sys3,17.09,506.1,98.85,1.000
6.68,sys1,24.21,480.1,93.78,1.000
6.68,sys2,19.73,242.4,47.34,1.000
6.69,sys4,10.72,479.9,93.73,1.000
6.71,sys3,24.42,506.4,98.90,1.000
7.68,sys1,19.97,479.2,93.60,1.000
7.68,sys2,8.65,244.1,47.69,1.000
7.69,sys4,15.48,480.3,93.81,1.000
7.71,sys3,17.85,506.2,98.86,1.000
8.68,sys1,5.64,479.5,93.66,1.000
8.68,sys2,4.87,243.9,47.64,1.000
8.69,sys4,5.68,480.1,93.76,1.000
8.71,sys3,7.65,506.2,98.86,1.000
9.69,sys1,27.79,480.0,93.74,1.000
9.69,sys2,12.79,243.7,47.60,1.000
9.69,sys4,13.20,479.8,93.71,1.000
9.71,sys3,30.95,506.5,98.92,1.000
10.69,sys1,12.83,478.9,93.53,1.000
10.69,sys2,7.08,244.9,47.82,1.000
10.69,sys4,14.61,480.4,93.83,1.000
10.72,sys3,42.31,507.4,99.09,1.000
11.69,sys1,55.23,479.0,93.56,1.000
11.69,sys2,25.02,245.1,47.88,1.000
11.7,sys4,33.26,480.9,93.92,1.000
11.72,sys3,44.36,507.9,99.19,1.000
12.69,sys1,42.11,481.4,94.02,1.000
12.69,sys2,35.49,244.1,47.68,1.000
12.7,sys4,32.31,480.4,93.83,1.000
12.72,sys3,43.89,507.2,99.07,1.000
13.69,sys1,47.28,480.7,93.88,1.000
13.69,sys2,34.15,243.9,47.63,1.000
13.7,sys4,26.51,480.4,93.84,1.000
13.72,sys3,39.58,507.2,99.07,1.000
14.69,sys1,45.98,480.9,93.92,1.000
14.7,sys2,22.72,243.9,47.64,1.000
14.7,sys4,23.36,480.5,93.85,1.000
14.72,sys3,40.39,507.4,99.10,1.000
15.7,sys1,49.45,482.9,94.31,1.000
