t,system,cpu_pct,mem_mb,mem_pct,quota_cores
1.56,sys1,0.94,473.1,92.41,1.000
1.56,sys2,2.22,243.7,47.60,1.000
1.56,sys3,0.75,510.4,99.69,1.000
1.56,sys4,2.95,481.8,94.11,1.000
2.56,sys1,5.57,477.4,93.24,1.000
2.56,sys2,1.85,242.5,47.36,1.000
2.56,sys3,6.13,510.4,99.70,1.000
2.57,sys4,5.15,480.6,93.86,1.000
3.56,sys2,15.21,241.8,47.22,1.000
3.56,sys3,25.45,510.6,99.73,1.000
3.57,sys1,29.62,479.6,93.68,1.000
3.57,sys4,19.60,480.1,93.77,1.000
4.56,sys3,26.19,510.5,99.71,1.000
4.57,sys1,27.87,481.5,94.04,1.000
4.57,sys2,15.54,242.0,47.27,1.000
4.58,sys4,24.18,480.4,93.82,1.000
5.56,sys3,24.66,510.6,99.72,1.000
5.57,sys1,23.71,481.4,94.03,1.000
5.57,sys2,13.54,242.2,47.30,1.000
5.58,sys4,27.16,482.2,94.18,1.000
6.56,sys3,13.16,511.3,99.86,1.000
6.57,sys1,14.31,481.0,93.95,1.000
6.57,sys2,8.07,243.4,47.54,1.000
6.58,sys4,15.89,482.3,94.20,1.000
7.57,sys1,43.36,482.3,94.21,1.000
7.57,sys2,23.06,243.7,47.60,1.000
7.57,sys3,31.76,511.3,99.86,1.000
7.59,sys4,32.89,482.1,94.15,1.000
8.57,sys2,10.94,243.4,47.55,1.000
8.57,sys3,30.04,511.6,99.92,1.000
8.58,sys1,23.15,479.7,93.70,1.000
8.59,sys4,32.07,482.1,94.16,1.000
9.57,sys2,30.69,243.5,47.55,1.000
9.57,sys3,54.04,511.2,99.84,1.000
9.58,sys1,47.40,481.8,94.09,1.000
9.59,sys4,30.57,482.3,94.21,1.000
10.57,sys3,37.37,511.4,99.89,1.000
10.58,sys1,33.55,482.9,94.32,1.000
10.58,sys2,20.64,243.5,47.55,1.000
10.59,sys4,31.35,481.6,94.06,1.000
11.57,sys3,33.11,511.3,99.86,1.000
11.58,sys1,25.36,483.0,94.34,1.000
11.58,sys2,8.68,243.5,47.55,1.000
11.6,sys4,15.62,481.6,94.06,1.000
12.57,sys3,33.87,511.3,99.86,1.000
12.58,sys1,38.35,484.0,94.53,1.000
12.58,sys2,31.57,243.5,47.55,1.000
12.6,sys4,29.17,481.9,94.11,1.000
13.57,sys3,41.99,511.1,99.83,1.000
13.58,sys2,23.53,243.5,47.55,1.000
13.59,sys1,59.95,483.0,94.34,1.000
13.61,sys4,36.11,481.8,94.11,1.000
14.57,sys3,19.10,511.2,99.84,1.000
14.58,sys2,9.59,243.5,47.55,1.000
14.59,sys1,17.15,483.5,94.43,1.000
14.61,sys4,11.70,481.8,94.11,1.000
15.58,sys2,10.07,243.5,47.56,1.000
15.58,sys3,17.07,510.9,99.79,1.000
15.59,sys1,23.71,485.7,94.87,1.000
15.61,sys4,21.54,481.9,94.11,1.000
16.58,sys2,9.46,243.5,47.55,1.000
16.58,sys3,26.77,510.8,99.77,1.000
16.59,sys1,28.74,482.7,94.27,1.000
16.62,sys4,17.88,481.8,94.11,1.000
17.58,sys2,11.18,244.7,47.80,1.000
17.58,sys3,19.80,511.8,99.97,1.000
17.59,sys1,26.92,482.7,94.27,1.000
17.62,sys4,25.09,481.8,94.11,1.000
18.58,sys3,14.82,510.9,99.78,1.000
18.59,sys1,11.40,482.5,94.23,1.000
18.59,sys2,8.20,243.5,47.56,1.000
18.62,sys4,6.90,482.1,94.16,1.000
19.58,sys3,2.16,511.1,99.81,1.000
19.59,sys2,2.45,243.5,47.55,1.000
19.6,sys1,2.70,482.6,94.26,1.000
19.63,sys4,2.53,481.8,94.11,1.000
20.58,sys3,7.69,511.1,99.82,1.000
20.59,sys2,5.03,243.5,47.56,1.000
20.6,sys1,9.58,482.1,94.16,1.000
20.63,sys4,7.64,481.9,94.11,1.000
21.58,sys3,5.88,510.8,99.77,1.000
21.59,sys2,2.72,243.5,47.56,1.000
21.6,sys1,8.66,483.1,94.35,1.000
21.63,sys4,8.21,481.9,94.12,1.000
22.59,sys3,1.27,510.8,99.77,1.000
22.6,sys1,1.01,482.4,94.21,1.000
22.6,sys2,0.88,243.5,47.55,1.000
22.63,sys4,1.47,481.6,94.06,1.000
23.59,sys3,0.27,510.8,99.77,1.000
23.6,sys1,1.00,482.2,94.18,1.000
23.6,sys2,0.47,243.7,47.60,1.000
23.63,sys4,1.61,481.6,94.06,1.000
24.59,sys3,5.45,510.8,99.77,1.000
24.6,sys1,9.73,480.8,93.90,1.000
24.6,sys2,7.13,241.9,47.24,1.000
24.63,sys4,7.96,480.3,93.81,1.000
25.59,sys3,27.76,511.1,99.82,1.000
25.6,sys2,23.59,243.3,47.52,1.000
25.61,sys1,24.35,482.8,94.30,1.000
25.63,sys4,26.29,481.4,94.03,1.000
26.59,sys3,18.11,511.2,99.85,1.000
26.61,sys1,22.82,484.3,94.58,1.000
26.61,sys2,9.79,243.8,47.62,1.000
26.63,sys4,15.96,481.7,94.09,1.000
27.59,sys3,23.52,510.9,99.79,1.000
27.61,sys1,35.33,483.2,94.38,1.000
27.61,sys2,14.22,243.8,47.61,1.000
27.63,sys4,25.67,481.8,94.11,1.000
28.59,sys3,6.84,510.9,99.78,1.000
28.61,sys1,3.56,482.2,94.18,1.000
28.61,sys2,1.58,243.7,47.59,1.000
28.63,sys4,4.06,481.9,94.11,1.000
29.59,sys3,14.84,510.6,99.73,1.000
