t,system,cpu_pct,mem_mb,mem_pct,quota_cores
1.35,sys1,0.57,472.4,92.27,1.000
1.35,sys2,0.23,243.6,47.57,1.000
1.36,sys3,0.59,499.9,97.64,1.000
1.36,sys4,0.96,476.9,93.14,1.000
2.36,sys1,1.59,472.6,92.31,1.000
2.36,sys2,1.50,243.4,47.53,1.000
2.36,sys3,1.10,500.1,97.69,1.000
2.36,sys4,1.90,476.7,93.10,1.000
3.36,sys1,25.77,477.7,93.30,1.000
3.36,sys2,13.77,242.1,47.29,1.000
3.36,sys3,16.38,500.3,97.71,1.000
3.36,sys4,15.78,475.3,92.82,1.000
4.36,sys1,10.96,475.2,92.81,1.000
4.36,sys2,15.88,242.4,47.35,1.000
4.36,sys4,15.97,475.3,92.84,1.000
4.37,sys3,17.39,500.2,97.70,1.000
5.36,sys1,14.04,475.5,92.87,1.000
5.36,sys2,14.56,243.3,47.51,1.000
5.36,sys4,9.29,475.4,92.85,1.000
5.37,sys3,12.57,500.7,97.79,1.000
6.36,sys4,15.28,476.7,93.10,1.000
6.37,sys1,19.52,475.6,92.89,1.000
6.37,sys2,14.18,243.4,47.53,1.000
6.37,sys3,25.91,500.2,97.71,1.000
7.36,sys4,13.90,477.1,93.19,1.000
7.37,sys2,9.78,244.5,47.75,1.000
7.38,sys1,15.90,476.8,93.12,1.000
7.38,sys3,15.38,500.5,97.76,1.000
8.36,sys4,14.75,477.4,93.24,1.000
8.38,sys1,11.59,476.4,93.06,1.000
8.38,sys2,9.21,243.7,47.60,1.000
8.38,sys3,19.53,501.3,97.90,1.000
9.37,sys4,5.63,476.9,93.14,1.000
9.38,sys1,4.27,477.0,93.16,1.000
9.38,sys2,2.37,243.7,47.60,1.000
9.38,sys3,5.85,500.7,97.79,1.000
10.37,sys4,7.91,476.9,93.14,1.000
10.38,sys1,7.88,477.5,93.27,1.000
10.38,sys2,4.89,243.5,47.56,1.000
10.39,sys3,14.34,500.6,97.77,1.000
11.37,sys4,11.24,476.9,93.14,1.000
11.38,sys2,9.99,243.9,47.63,1.000
11.39,sys1,15.74,478.1,93.38,1.000
11.39,sys3,19.84,500.3,97.72,1.000
12.38,sys2,12.34,243.6,47.58,1.000
12.38,sys4,14.76,477.0,93.15,1.000
12.39,sys1,13.88,479.4,93.63,1.000
12.39,sys3,17.65,500.6,97.77,1.000
13.38,sys2,16.19,243.9,47.63,1.000
13.38,sys4,17.29,476.7,93.11,1.000
13.39,sys1,15.53,477.8,93.32,1.000
13.4,sys3,29.56,500.9,97.84,1.000
14.38,sys2,6.53,243.9,47.63,1.000
14.38,sys4,6.38,476.8,93.13,1.000
14.39,sys1,8.80,476.9,93.15,1.000
14.4,sys3,9.32,500.8,97.82,1.000
15.38,sys4,14.78,476.8,93.13,1.000
15.39,sys2,24.23,243.6,47.58,1.000
15.4,sys1,24.03,479.5,93.66,1.000
15.4,sys3,21.61,501.3,97.91,1.000
16.38,sys4,14.72,476.8,93.13,1.000
16.39,sys2,17.05,243.6,47.59,1.000
16.4,sys1,22.90,477.5,93.26,1.000
16.41,sys3,28.08,501.3,97.90,1.000
17.39,sys2,8.81,243.6,47.58,1.000
17.39,sys4,9.89,476.8,93.13,1.000
17.4,sys1,15.91,478.5,93.45,1.000
17.41,sys3,11.81,501.2,97.89,1.000
18.39,sys2,18.11,243.6,47.58,1.000
18.39,sys4,13.14,476.8,93.13,1.000
18.4,sys1,18.16,477.7,93.31,1.000
18.41,sys3,28.57,500.9,97.84,1.000
19.39,sys4,12.19,476.8,93.13,1.000
19.4,sys2,17.57,243.6,47.58,1.000
19.41,sys1,20.25,479.7,93.69,1.000
19.41,sys3,29.94,500.9,97.84,1.000
20.39,sys4,16.94,478.6,93.48,1.000
20.4,sys2,18.97,243.9,47.63,1.000
20.41,sys1,23.30,479.3,93.62,1.000
20.42,sys3,30.78,501.2,97.89,1.000
21.39,sys4,19.86,476.9,93.14,1.000
21.4,sys2,24.27,244.9,47.82,1.000
21.41,sys1,35.91,478.6,93.47,1.000
21.42,sys3,30.96,501.5,97.95,1.000
22.4,sys2,20.10,243.6,47.58,1.000
22.4,sys4,20.12,477.1,93.19,1.000
22.41,sys1,23.86,479.3,93.61,1.000
22.42,sys3,20.18,501.5,97.95,1.000
23.4,sys2,26.36,244.3,47.72,1.000
23.4,sys4,24.61,477.2,93.19,1.000
23.41,sys1,31.59,479.3,93.61,1.000
23.42,sys3,36.60,502.3,98.10,1.000
24.4,sys4,36.70,477.1,93.19,1.000
24.41,sys1,47.82,478.9,93.53,1.000
24.41,sys2,35.79,244.4,47.73,1.000
24.42,sys3,58.05,501.5,97.95,1.000
25.41,sys1,38.15,481.0,93.94,1.000
25.41,sys2,21.07,243.6,47.58,1.000
25.41,sys4,37.89,477.4,93.25,1.000
25.42,sys3,44.91,502.0,98.04,1.000
26.41,sys2,61.87,243.9,47.63,1.000
26.41,sys4,49.25,477.7,93.30,1.000
26.42,sys1,74.68,478.2,93.39,1.000
26.43,sys3,81.16,503.0,98.25,1.000
27.41,sys2,33.54,243.4,47.54,1.000
27.41,sys4,31.72,477.2,93.21,1.000
27.42,sys1,66.20,480.2,93.80,1.000
27.43,sys3,51.41,503.2,98.29,1.000
28.41,sys4,46.39,477.2,93.21,1.000
28.42,sys1,64.59,478.9,93.54,1.000
28.42,sys2,48.81,243.6,47.59,1.000
28.44,sys3,66.21,502.7,98.18,1.000
29.41,sys4,42.50,479.8,93.71,1.000
29.42,sys1,55.82,478.4,93.43,1.000
29.42,sys2,31.12,244.4,47.73,1.000
29.44,sys3,44.48,503.5,98.35,1.000
30.41,sys4,47.63,477.9,93.33,1.000
30.42,sys1,60.93,481.9,94.13,1.000
30.42,sys2,42.07,243.6,47.58,1.000
30.44,sys3,64.93,502.5,98.15,1.000
31.41,sys4,39.67,477.9,93.34,1.000
