t,system,cpu_pct,mem_mb,mem_pct,quota_cores
1.75,sys1,0.54,475.5,92.87,1.000
1.75,sys2,0.24,243.9,47.63,1.000
1.75,sys3,0.28,500.4,97.74,1.000
1.75,sys4,1.79,480.1,93.78,1.000
2.75,sys2,8.60,242.3,47.33,1.000
2.75,sys3,26.90,502.1,98.07,1.000
2.76,sys1,33.56,477.2,93.21,1.000
2.76,sys4,19.40,480.4,93.82,1.000
3.75,sys2,17.53,243.0,47.46,1.000
3.76,sys1,18.23,477.9,93.34,1.000
3.76,sys3,24.00,502.8,98.20,1.000
3.76,sys4,13.68,479.7,93.68,1.000
4.75,sys2,18.05,242.4,47.35,1.000
4.76,sys1,16.97,478.7,93.49,1.000
4.76,sys3,20.04,502.7,98.18,1.000
4.76,sys4,17.60,480.5,93.84,1.000
5.75,sys2,15.89,242.8,47.42,1.000
5.76,sys1,22.14,479.6,93.66,1.000
5.76,sys3,26.38,502.9,98.23,1.000
5.76,sys4,17.58,481.4,94.02,1.000
6.76,sys1,5.45,478.4,93.44,1.000
6.76,sys2,5.04,242.7,47.40,1.000
6.76,sys3,5.13,503.0,98.24,1.000
6.76,sys4,6.74,480.9,93.92,1.000
7.76,sys2,13.89,245.2,47.88,1.000
7.77,sys1,15.32,476.7,93.11,1.000
7.77,sys3,21.98,503.7,98.38,1.000
7.78,sys4,12.10,481.2,93.98,1.000
8.76,sys2,14.57,244.0,47.67,1.000
8.77,sys1,19.81,478.3,93.43,1.000
8.77,sys3,38.15,503.8,98.41,1.000
8.78,sys4,16.51,480.9,93.93,1.000
9.76,sys2,14.70,244.1,47.67,1.000
9.77,sys1,8.57,478.0,93.35,1.000
9.77,sys3,6.91,503.7,98.37,1.000
9.78,sys4,7.76,480.9,93.93,1.000
10.76,sys2,9.13,243.9,47.64,1.000
10.78,sys1,8.60,478.2,93.40,1.000
10.78,sys3,9.95,503.7,98.38,1.000
10.78,sys4,10.18,480.9,93.93,1.000
11.76,sys2,3.82,243.9,47.64,1.000
11.78,sys1,12.33,477.6,93.29,1.000
11.78,sys3,9.55,503.9,98.43,1.000
11.78,sys4,14.01,480.9,93.93,1.000
12.76,sys2,14.27,244.0,47.65,1.000
12.78,sys1,16.71,479.0,93.56,1.000
12.78,sys3,15.23,504.1,98.46,1.000
12.79,sys4,11.98,481.1,93.97,1.000
13.76,sys2,18.54,244.2,47.69,1.000
13.78,sys1,28.92,478.5,93.46,1.000
13.78,sys3,19.47,505.4,98.70,1.000
13.79,sys4,20.82,480.9,93.92,1.000
14.76,sys2,13.67,244.2,47.69,1.000
14.78,sys1,23.54,478.3,93.42,1.000
14.78,sys3,25.96,505.0,98.63,1.000
14.79,sys4,19.17,481.1,93.97,1.000
15.76,sys2,9.92,243.9,47.65,1.000
15.78,sys1,15.72,478.0,93.37,1.000
15.79,sys3,14.94,505.1,98.65,1.000
15.79,sys4,13.73,480.9,93.93,1.000
16.77,sys2,11.08,243.9,47.64,1.000
16.78,sys1,8.85,478.0,93.36,1.000
16.79,sys3,9.99,505.8,98.78,1.000
16.79,sys4,2.84,480.9,93.92,1.000
17.77,sys2,6.13,245.0,47.85,1.000
17.79,sys1,7.96,477.6,93.29,1.000
17.79,sys3,7.07,505.9,98.80,1.000
17.79,sys4,3.52,481.7,94.08,1.000
18.77,sys2,13.46,244.0,47.65,1.000
18.79,sys1,20.46,479.0,93.56,1.000
18.79,sys3,13.98,506.5,98.92,1.000
18.8,sys4,8.22,481.1,93.97,1.000
19.77,sys2,8.76,243.9,47.64,1.000
19.79,sys1,15.26,480.6,93.86,1.000
19.79,sys3,27.86,506.2,98.86,1.000
19.8,sys4,15.19,480.9,93.93,1.000
20.77,sys2,23.13,244.2,47.70,1.000
20.79,sys1,29.13,481.2,93.98,1.000
20.79,sys3,16.56,506.3,98.88,1.000
20.8,sys4,21.87,480.9,93.93,1.000
21.77,sys2,20.46,244.2,47.69,1.000
21.79,sys1,26.48,480.0,93.75,1.000
21.79,sys3,26.71,506.6,98.94,1.000
21.8,sys4,26.78,481.2,93.98,1.000
22.78,sys2,10.10,244.7,47.79,1.000
22.79,sys3,12.25,507.8,99.17,1.000
22.8,sys1,22.58,479.8,93.71,1.000
22.8,sys4,11.66,481.7,94.08,1.000
23.78,sys2,20.07,244.2,47.69,1.000
23.79,sys3,33.20,507.3,99.09,1.000
23.8,sys1,24.16,478.1,93.39,1.000
23.8,sys4,25.94,481.7,94.08,1.000
24.78,sys2,12.45,244.4,47.74,1.000
24.8,sys1,25.49,480.8,93.90,1.000
24.8,sys3,20.47,507.4,99.10,1.000
24.81,sys4,13.10,480.9,93.93,1.000
25.78,sys2,20.47,243.9,47.64,1.000
25.8,sys1,48.95,479.2,93.59,1.000
25.8,sys3,39.13,508.8,99.38,1.000
25.81,sys4,24.14,481.0,93.94,1.000
26.78,sys2,13.40,244.4,47.72,1.000
26.8,sys1,27.28,480.1,93.77,1.000
26.8,sys3,37.01,508.9,99.39,1.000
26.81,sys4,18.11,480.9,93.93,1.000
27.78,sys2,9.88,244.6,47.77,1.000
27.8,sys1,12.08,479.0,93.55,1.000
27.8,sys3,13.87,509.4,99.49,1.000
27.81,sys4,11.95,481.2,93.98,1.000
28.79,sys2,22.14,244.4,47.72,1.000
28.8,sys3,16.51,508.9,99.40,1.000
28.81,sys1,27.41,479.0,93.56,1.000
